heating_point_id,heating_point_type,gmina_code,capacity,has_generator,has_independent_stove,availability_status,power_need_kw,lat,lon
HP-0140,sports_hall,1218001,306,True,True,needs_staff,26.3,50.19818,20.63643
HP-0141,sports_hall,1018006,326,False,True,available,48.9,52.21301,20.15344
HP-0142,sports_hall,2405001,287,False,True,available,24.8,50.61262,19.2764
HP-0143,school,0205003,202,True,True,available,30.0,50.96407,16.25619
HP-0144,school,2805002,179,False,False,available,15.6,53.71974,19.8801
HP-0145,community_hall,1402004,152,False,True,available,13.0,51.58193,20.21733
HP-0146,sports_hall,2807005,319,True,False,available,62.5,53.76536,21.13101
HP-0147,community_hall,1421004,180,False,False,available,27.0,52.67862,20.72462
HP-0148,sports_hall,2215004,330,False,False,needs_staff,41.8,54.21254,19.13497
HP-0149,sports_hall,3017001,272,False,True,available,55.3,52.82544,17.36996
HP-0150,school,2002005,208,True,False,available,31.0,53.52541,22.87319
HP-0151,OSP_station,0220005,78,True,False,needs_staff,14.0,50.45688,17.21392
HP-0152,sports_hall,0223002,322,False,False,available,67.6,51.26777,16.50317
HP-0153,community_hall,2609001,91,True,False,available,10.3,50.67701,20.3012
HP-0154,school,2003005,182,False,False,available,25.3,53.10035,22.38051
HP-0155,sports_hall,0614002,348,True,False,available,60.3,51.30671,22.33458
HP-0156,community_hall,2607006,91,False,False,available,14.8,50.3856,20.72767
HP-0157,school,0417006,208,False,True,available,24.0,52.81935,18.66165
HP-0158,school,0807001,184,False,True,available,32.6,52.64612,15.89773
HP-0159,sports_hall,3003004,280,True,True,available,41.3,53.01728,16.19735
HP-0160,community_hall,1427004,118,False,True,available,22.3,51.59399,21.17151
HP-0161,community_hall,2432004,128,False,False,available,25.1,50.49197,18.94588
HP-0162,sports_hall,2818001,304,False,False,available,39.9,53.3588,20.81189
HP-0163,sports_hall,0416006,291,False,True,available,45.5,53.36477,18.27869
HP-0164,community_hall,3001003,120,False,False,available,13.7,52.29126,16.51348
HP-0165,community_hall,0422006,144,False,True,available,18.2,52.83263,18.81123
HP-0166,culture_center,1407004,137,True,False,available,20.9,52.28952,21.1747
HP-0167,culture_center,2601005,145,True,False,available,23.2,50.86264,20.63587
HP-0168,school,3215002,141,False,False,available,21.9,54.18763,15.00493
HP-0169,school,3012002,214,False,True,available,35.6,52.63279,16.99906
HP-0170,culture_center,1604006,85,True,False,needs_staff,18.3,50.76973,18.90558
HP-0171,school,0401007,237,True,True,available,22.0,52.36596,18.51661
HP-0172,sports_hall,1811005,384,False,True,available,54.2,50.44639,22.13087
HP-0173,sports_hall,3009003,383,True,False,available,53.1,52.42823,15.73529
HP-0174,community_hall,0207003,141,False,True,available,12.1,51.26989,17.69197
HP-0175,sports_hall,2435002,294,True,False,available,59.4,50.45831,18.2298
HP-0176,culture_center,2425001,144,False,False,available,26.6,50.078,18.93145
HP-0177,community_hall,2815001,35,False,True,available,6.9,53.73601,20.37044
HP-0178,school,2435003,69,False,False,available,8.8,50.36874,18.32934
HP-0179,school,1803007,187,True,False,available,25.9,50.16836,22.23609
HP-0180,culture_center,2402004,249,False,True,needs_staff,27.1,50.14106,19.01116
HP-0181,school,1818001,245,False,True,available,29.8,50.45761,22.65693
HP-0182,culture_center,1436003,114,False,True,available,10.2,53.01737,20.28148
HP-0183,community_hall,1433002,113,False,True,available,17.4,52.68747,21.28872
HP-0184,community_hall,1008001,89,True,True,available,10.9,51.90644,19.21041
HP-0185,sports_hall,0221005,363,False,False,needs_staff,47.3,51.45222,17.30798
HP-0186,culture_center,1441007,48,False,False,available,4.9,52.43824,21.14922
HP-0187,sports_hall,1416003,403,True,False,available,78.2,52.2425,20.45061
HP-0188,sports_hall,3218003,292,False,False,available,32.2,52.97,15.61021
HP-0189,OSP_station,2602002,35,False,True,available,4.9,50.21329,19.74664
HP-0190,community_hall,1008007,142,False,True,needs_staff,16.1,52.01212,19.39645
HP-0191,school,0401002,168,False,False,available,16.6,52.32093,18.56737
HP-0192,community_hall,1434006,141,False,True,available,30.6,51.33391,21.42648
HP-0193,sports_hall,0216007,279,True,True,available,54.7,51.83314,16.4964
HP-0194,community_hall,1431006,54,False,False,available,11.1,52.1056,20.55869
HP-0195,school,2610001,121,True,True,available,14.8,50.40384,21.04242
HP-0196,community_hall,0419002,131,False,True,needs_staff,20.6,52.45007,18.13152
HP-0197,sports_hall,0622002,275,False,True,needs_staff,39.6,51.89223,22.47908
HP-0198,community_hall,2810002,84,False,False,needs_staff,16.5,53.83678,20.42819
HP-0199,sports_hall,0415007,263,False,False,needs_staff,27.2,53.17981,18.97992
HP-0200,sports_hall,1426005,316,False,False,available,64.8,52.96313,21.20343
HP-0201,school,1411004,173,False,False,available,18.3,52.03884,21.48451
HP-0202,culture_center,0801004,71,False,False,available,9.2,52.19198,16.25371
HP-0203,school,1428003,166,True,True,available,15.1,51.81986,20.9236
HP-0204,community_hall,1425001,154,False,False,available,19.0,53.02694,21.63077
HP-0205,OSP_station,1414003,46,False,True,available,6.9,52.89775,20.08567
HP-0206,OSP_station,0209003,76,False,True,available,16.0,51.22397,16.41595
HP-0207,culture_center,0613002,81,True,False,available,7.2,50.92674,22.08774
HP-0208,school,1012002,154,True,True,available,17.9,51.12128,19.16145
HP-0209,community_hall,0812004,153,False,False,available,21.0,52.71891,15.45432
HP-0210,community_hall,2420001,116,False,True,needs_staff,13.3,50.09321,19.02268
HP-0211,culture_center,2004004,143,True,False,available,29.2,52.63688,23.31913
HP-0212,school,1012005,132,False,False,available,22.5,50.92366,19.52777
HP-0213,culture_center,1416007,148,False,False,available,12.9,52.28153,20.28407
HP-0214,school,3215004,99,False,True,available,11.5,54.12212,14.97555
HP-0215,school,2610002,246,False,True,needs_staff,41.6,50.68268,21.18205
HP-0216,community_hall,1015006,84,True,False,available,15.4,52.1147,18.77966
HP-0217,community_hall,3004002,93,True,False,needs_staff,14.9,52.56783,17.67458
HP-0218,community_hall,0220003,130,False,False,available,26.6,50.79473,16.89044
HP-0219,school,1811002,168,True,True,available,18.7,50.39707,21.76734
HP-0220,sports_hall,0420003,235,False,True,needs_staff,20.7,53.28311,18.0505
HP-0221,sports_hall,0808007,354,False,False,available,74.7,52.22328,15.48117
HP-0222,community_hall,3202005,199,False,True,available,29.8,53.16773,15.3529
HP-0223,culture_center,2803005,87,False,False,available,13.3,53.11602,20.6883
HP-0224,school,2217001,211,False,True,available,42.9,53.51323,18.09196
HP-0225,OSP_station,2013005,84,True,True,available,17.0,53.33478,22.45641
HP-0226,culture_center,1403002,127,True,True,available,17.6,52.29809,21.00394
HP-0227,OSP_station,2415004,49,False,False,available,10.7,49.64211,19.42497
HP-0228,community_hall,1007007,35,False,False,available,5.9,51.37984,19.0235
HP-0229,OSP_station,1209003,181,False,False,available,23.9,49.59659,21.19
HP-0230,OSP_station,1812005,79,True,True,available,15.7,50.25437,22.21467
HP-0231,sports_hall,0402006,329,False,False,available,45.7,53.04893,18.69864
HP-0232,school,1418005,131,False,False,available,16.5,52.18036,22.14457
HP-0233,school,0615007,158,False,True,available,28.4,50.58087,22.03853
HP-0234,OSP_station,0401006,85,True,False,available,15.5,52.39082,18.28594
HP-0235,OSP_station,3206004,55,True,True,needs_staff,6.2,53.01445,13.9621
HP-0236,school,2431006,118,True,False,available,21.3,50.21697,18.60319
HP-0237,sports_hall,2207003,342,False,False,available,44.7,54.53388,19.92275
HP-0238,OSP_station,2604002,35,True,False,available,5.4,51.1636,21.67302
HP-0239,community_hall,1440003,39,False,True,available,8.1,51.90779,21.52933
HP-0240,OSP_station,3017003,109,False,False,available,11.6,52.65131,17.31922
HP-0241,OSP_station,3007005,35,False,True,available,7.4,51.80578,16.69302
HP-0242,community_hall,1222006,71,False,True,available,11.2,50.14034,21.07955
HP-0243,OSP_station,2011003,35,False,False,available,6.5,54.04652,24.66652
HP-0244,school,3210003,213,False,False,needs_staff,18.3,53.56822,14.93732
HP-0245,sports_hall,2603001,310,False,False,available,45.0,51.03466,20.24298
HP-0246,culture_center,1417005,194,True,True,available,17.9,51.94466,21.66027
HP-0247,community_hall,3020002,80,False,False,available,14.4,52.74268,17.40974
HP-0248,culture_center,3006002,170,False,False,available,33.2,52.69307,16.51928
HP-0249,school,3208006,162,True,False,available,28.3,53.60872,14.37431
HP-0250,sports_hall,0207007,294,False,True,needs_staff,50.2,51.02429,17.77912
HP-0251,school,1432007,229,False,True,available,37.7,51.82715,21.3121
HP-0252,community_hall,2421004,109,False,True,available,13.9,50.26958,18.27299
HP-0253,culture_center,2012006,95,False,True,available,20.4,52.97823,23.42306
HP-0254,OSP_station,1606006,59,False,False,available,7.5,50.77534,18.19111
HP-0255,community_hall,3006001,35,False,True,needs_staff,4.8,52.65591,16.69796
HP-0256,culture_center,0225001,216,False,False,available,20.0,51.23406,16.64183
HP-0257,sports_hall,0604007,314,False,True,needs_staff,25.5,51.0792,21.91479
HP-0258,OSP_station,3210005,126,False,False,available,22.3,53.61038,14.97241
HP-0259,sports_hall,1818005,166,True,True,available,18.5,50.58254,22.33886
HP-0260,school,3211004,122,False,True,available,17.5,53.00318,13.44906
HP-0261,school,1423004,158,False,False,available,30.9,52.49627,20.12508
HP-0262,community_hall,1806001,106,False,False,available,19.0,50.03941,22.22907
HP-0263,school,1422002,125,False,False,available,13.6,51.98693,20.45775
HP-0264,school,1420002,208,True,True,needs_staff,43.9,52.86003,21.21397
HP-0265,culture_center,0605004,157,False,False,available,15.4,51.39559,22.52755
HP-0266,OSP_station,1413003,179,False,False,available,17.1,51.64587,21.06074
HP-0267,culture_center,2202002,115,True,False,available,9.5,55.22067,18.17179
HP-0268,sports_hall,3218005,352,False,False,available,73.2,53.12649,15.84363
HP-0269,school,1405004,131,False,False,needs_staff,10.9,52.66314,21.19169
HP-0270,community_hall,1024001,35,True,True,needs_staff,5.1,51.50459,19.39603
HP-0271,sports_hall,2820001,272,False,False,available,44.8,53.74615,20.37467
HP-0272,school,1807004,216,True,True,available,25.6,50.21643,22.18268
HP-0273,sports_hall,3035001,314,True,False,available,31.7,51.76111,17.1378
HP-0274,culture_center,1605003,213,True,False,available,34.5,50.37774,17.67346
HP-0275,community_hall,0207002,133,True,True,available,27.7,51.14769,17.62725
HP-0276,culture_center,0205007,55,False,True,available,10.1,51.14902,16.22873
HP-0277,sports_hall,0410006,325,True,False,available,67.6,53.27375,18.503
HP-0278,sports_hall,3015003,314,True,False,available,46.1,53.50157,17.28807
HP-0279,school,2215006,158,True,False,available,33.3,54.25369,19.25711
HP-0280,community_hall,0605002,44,False,False,available,3.6,51.26349,22.54031
HP-0281,school,3002005,154,False,False,available,29.9,53.29652,16.94178
HP-0282,sports_hall,0608006,360,False,False,available,53.3,50.85654,22.87413
HP-0283,sports_hall,2419004,287,False,False,available,39.3,50.43544,18.94163
HP-0284,sports_hall,3221004,275,True,False,needs_staff,44.6,53.68503,14.9905
HP-0285,OSP_station,1214003,76,False,False,needs_staff,10.9,50.4645,19.91034
HP-0286,culture_center,1429006,119,False,False,available,25.3,52.72058,21.31293
HP-0287,sports_hall,1411003,361,True,False,available,42.2,52.14679,20.97021
HP-0288,OSP_station,1022007,77,False,True,available,15.8,51.65947,19.61316
HP-0289,sports_hall,0220007,268,True,True,available,30.6,50.76149,17.32451
HP-0290,school,0214007,220,False,False,available,35.6,51.31532,17.28346
HP-0291,sports_hall,0601006,340,False,False,available,70.6,50.71564,22.45302
HP-0292,community_hall,0404002,72,False,False,available,15.3,52.82969,18.4045
HP-0293,sports_hall,1212007,306,True,True,available,61.7,50.89453,19.34347
HP-0294,school,0619002,245,False,False,available,25.4,50.53331,22.92098
HP-0295,sports_hall,0618002,266,False,True,available,56.1,51.36648,22.22197
HP-0296,community_hall,0421004,84,False,False,available,9.3,52.79893,19.02122
HP-0297,OSP_station,0624001,95,True,False,available,16.1,50.66895,22.48549
HP-0298,school,2008005,197,False,True,available,15.9,53.50955,22.7623
HP-0299,school,1018001,276,True,False,available,53.2,52.14615,20.34514
HP-0300,culture_center,0612007,141,False,True,available,19.8,51.00599,22.50374
HP-0301,culture_center,1017006,150,False,False,available,21.3,51.63506,20.20592
HP-0302,sports_hall,1412002,288,False,True,available,45.8,52.50549,20.74088
HP-0303,OSP_station,3026005,92,True,True,needs_staff,16.4,52.0133,16.53176
HP-0304,school,2433006,139,True,False,available,28.2,49.88701,18.9081
HP-0305,sports_hall,0415003,245,False,False,available,50.2,53.1884,18.63801
HP-0306,school,2424005,236,True,False,available,28.8,50.44622,19.961
HP-0307,school,1425006,212,True,False,available,25.4,52.4842,21.05093
HP-0308,sports_hall,2406004,333,False,False,needs_staff,39.9,50.65455,18.23689
HP-0309,culture_center,1611002,130,True,True,available,20.3,51.36323,17.95816
HP-0310,sports_hall,1414005,198,True,True,available,26.2,53.13317,20.20586
HP-0311,sports_hall,1004006,326,False,False,available,62.4,51.2255,20.48682
HP-0312,culture_center,0414003,171,False,False,available,21.5,52.93565,18.40417
HP-0313,sports_hall,1426002,316,False,False,available,56.5,52.8558,21.73195
HP-0314,sports_hall,3207003,307,True,True,available,44.1,53.75841,14.9778
HP-0315,culture_center,3205001,173,True,True,needs_staff,34.6,53.50844,15.33975
HP-0316,sports_hall,2017003,272,False,True,available,27.0,52.73314,23.19893
HP-0317,community_hall,1804005,35,False,True,available,3.4,49.86709,21.08949
HP-0318,OSP_station,0406002,117,False,True,available,16.6,52.34688,17.98884
HP-0319,culture_center,1415001,146,False,True,available,22.4,52.38346,20.7354
HP-0320,sports_hall,1418007,271,True,True,available,43.5,52.59202,21.92921
HP-0321,sports_hall,1014001,279,False,False,available,35.0,51.66942,19.20761
HP-0322,sports_hall,2415006,286,False,False,available,41.1,49.6818,19.08431
HP-0323,community_hall,0411005,96,False,True,available,11.3,52.91152,18.10886
HP-0324,OSP_station,2614006,131,True,False,available,27.8,50.67816,20.84023
HP-0325,sports_hall,1203003,296,False,False,available,34.3,49.74211,19.65142
HP-0326,culture_center,2203002,163,True,True,needs_staff,20.6,54.44393,18.44201
HP-0327,community_hall,1014003,95,False,True,needs_staff,20.0,51.3016,19.26876
HP-0328,culture_center,2801001,137,True,True,available,24.7,53.76604,20.6616
HP-0329,culture_center,0611004,130,True,False,available,25.3,51.71211,22.13837
HP-0330,community_hall,3201004,179,False,False,available,20.2,53.27328,13.85376
HP-0331,culture_center,2409004,222,True,True,available,29.9,50.97555,18.63918
HP-0332,culture_center,1213006,81,False,True,available,11.4,50.0957,20.22924
HP-0333,sports_hall,0610002,359,False,False,available,75.6,51.76235,22.78513
HP-0334,school,2416004,167,False,False,needs_staff,32.3,49.83589,19.34442
HP-0335,school,1415004,264,False,True,available,43.1,52.44551,20.92228
HP-0336,school,0608004,193,False,False,available,35.8,50.77554,22.84576
HP-0337,community_hall,0221003,80,False,False,available,17.3,51.35373,17.30953
HP-0338,school,0413005,210,True,True,available,32.0,52.79282,18.73941
HP-0339,school,0412002,165,False,True,available,23.7,52.93302,18.10797
HP-0340,school,1410005,250,True,False,available,48.8,52.64079,19.61599
HP-0341,culture_center,3009006,122,True,True,available,24.4,52.59266,16.16316
HP-0342,sports_hall,0211007,291,False,False,available,55.3,50.92648,16.63246
HP-0343,culture_center,2804006,142,False,True,available,16.3,53.10733,20.78996
HP-0344,sports_hall,0811001,348,False,False,needs_staff,68.6,51.55196,15.43824
HP-0345,culture_center,3206005,137,False,True,available,28.4,52.8501,13.75387
HP-0346,OSP_station,0223001,50,False,False,available,5.5,51.21426,17.06253
HP-0347,school,2201005,217,True,True,needs_staff,21.8,54.25007,19.50313
HP-0348,OSP_station,1419007,43,False,True,available,4.4,52.76369,21.27474
HP-0349,OSP_station,0812005,39,False,True,available,4.4,52.6402,15.667
HP-0350,culture_center,1802007,175,False,True,needs_staff,26.8,49.47181,21.58987
HP-0351,culture_center,3012004,128,False,False,available,26.5,52.67586,17.27599
HP-0352,community_hall,0203002,50,True,True,available,9.0,50.22316,15.82559
HP-0353,OSP_station,2817001,85,False,True,available,9.1,54.07924,20.66899
HP-0354,culture_center,2614001,99,False,False,available,13.8,50.60745,21.17603
HP-0355,community_hall,2605004,193,False,False,available,27.5,50.55769,20.16836
HP-0356,OSP_station,2412006,35,False,True,available,5.8,50.34951,19.80146
HP-0357,sports_hall,2210006,273,False,False,available,56.3,54.51542,18.46002
HP-0358,culture_center,0412001,131,True,True,available,19.3,52.71087,18.26281
HP-0359,culture_center,1218002,118,False,False,available,23.6,50.33793,20.1009
HP-0360,culture_center,0202007,115,False,True,available,22.8,51.33539,17.4348
HP-0361,sports_hall,2014004,320,False,True,available,52.1,53.38284,23.17338
HP-0362,community_hall,2608002,148,True,False,available,22.0,51.76798,19.62658
HP-0363,school,0618007,199,False,False,available,23.7,51.32925,22.54469
HP-0364,community_hall,1822002,90,False,False,needs_staff,15.9,49.62377,21.81661
HP-0365,culture_center,1805001,181,False,False,available,17.9,49.19711,21.96743
HP-0366,culture_center,1441002,119,True,True,available,16.3,52.67533,21.54943
HP-0367,culture_center,2208004,189,False,False,available,41.0,54.65228,19.22619
HP-0368,OSP_station,0403003,117,True,False,available,21.9,53.40923,18.83721
HP-0369,community_hall,0601001,154,False,True,available,20.4,50.74072,22.12099
HP-0370,sports_hall,2001004,269,True,True,needs_staff,26.2,52.98728,22.24894
HP-0371,sports_hall,1809002,226,True,True,available,45.4,50.39234,21.46357
