grid_asset_id,asset_type,operator_region,primary_gmina_code,served_gminas,customers_served,lat,lon,icing_susceptibility
GRID-0062,MV_line,24,2431005,2431005|2008002|3027006|2607003|0413001,18007,50.01669,18.76235,0.463
GRID-0063,line_110kV,18,1804007,1804007|1024004|0814004|1020007|0203004|0208004|2806006|2007004|2614004|2211003|2219001|2204004|2006006|2014003,89715,50.08439,21.37687,0.307
GRID-0064,MV_line,26,2613003,2613003|0412005|2214002|0223006|0620006,9912,51.2281,20.11425,0.33
GRID-0065,transformer,20,2014006,2014006|1023005,7562,53.17142,22.96743,0.702
GRID-0066,transformer,24,2413001,2413001|2813001,6284,50.11317,18.57569,0.511
GRID-0067,MV_line,26,2612005,2612005|0404006|2015002|2404004|1408003,16591,51.13408,20.06889,0.644
GRID-0068,MV_line,14,1405006,1405006|0217004|0810004|1416007|2426001,15297,52.45562,21.34924,0.518
GRID-0069,line_110kV,08,0810002,0810002|3203006|1004004|0208002|0616003|0602001|2014004|2206004|3209002|0418001|2819001|1020004|2403006|1007001,51130,52.09271,14.92578,0.44
GRID-0070,line_110kV,24,2406004,2406004|2806006|3008001|2013003|3209002|1602002|2216001|0423001|0611007|3035001|1812002|0807004|1421003|1208005,129865,50.61988,18.24949,0.163
GRID-0071,MV_line,22,2206006,2206006|1008004|2614006|0201007|0604005,33025,54.68799,17.88658,0.403
GRID-0072,transformer,04,0411007,0411007|3002004,3850,53.30213,18.24447,0.447
GRID-0073,MV_line,22,2219005,2219005|1009006|1013002|2007006|1019001,19212,54.06925,17.84406,0.441
GRID-0074,line_110kV,08,0802005,0802005|2808002|0612004|2422005|3031002|1210003|1018005|1203005|0405004|1016007|1022002|1415006|2214002|2416001,65123,52.21013,15.58761,0.3
GRID-0075,transformer,06,0611007,0611007|0417005,5931,51.80499,21.88848,0.703
GRID-0076,GPZ,14,1435004,1435004|1425007|0408005|1810005|0218003|3208006|1401003|2605003,54637,52.12006,20.82985,0.715
GRID-0077,MV_line,26,2610003,2610003|0206004|0406006|1419005|0205002,23953,50.83742,21.02559,0.516
GRID-0078,transformer,32,3206005,3206005|0604005,59918,52.87679,13.73224,0.607
GRID-0079,MV_line,12,1209004,1209004|2008004|3220005|2820002|1419004,22489,49.48649,20.54295,0.358
GRID-0080,MV_line,26,2610006,2610006|3221005|2408003|1806007|2005002,69059,50.97583,21.08877,0.224
GRID-0081,transformer,18,1811003,1811003|1823005,26080,50.56025,21.67911,0.313
GRID-0082,MV_line,22,2207002,2207002|1820002|1803002|0606005|0202006,32585,54.56938,19.8413,0.399
GRID-0083,transformer,24,2427001,2427001|0805002,3918,49.82716,18.48386,0.16
GRID-0084,MV_line,02,0216001,0216001|1427004|1409004|2003005|2423005,40059,51.8178,16.79038,0.522
GRID-0085,MV_line,26,2603004,2603004|0202006|1610004|0210006|1823001,17469,50.75015,19.79922,0.389
GRID-0086,transformer,02,0227006,0227006|2418003,26165,50.78598,16.748,0.171
GRID-0087,MV_line,12,1222005,1222005|0418005|1814006|2407002|2604002,25643,50.12317,21.0725,0.424
GRID-0088,transformer,06,0606006,0606006|1024002,11291,51.40604,22.66263,0.886
GRID-0089,transformer,08,0807006,0807006|2809004,6274,52.4599,16.04044,0.374
GRID-0090,line_110kV,02,0219005,0219005|1440003|3018005|2433006|1008003|2419005|0615005|2608002|3013002|1404007|1406003|1209006|1009006|0423003,89898,51.19993,16.0472,0.165
GRID-0091,MV_line,06,0609006,0609006|1003006|1801001|2013006|1428001,59765,51.2793,23.3295,0.446
GRID-0092,transformer,12,1214007,1214007|0620001,35612,50.31407,19.78655,0.097
GRID-0093,transformer,08,0803004,0803004|0423007,14609,51.91616,14.82577,0.474
GRID-0094,transformer,18,1804006,1804006|3219002,12429,50.13248,21.23486,0.4
GRID-0095,MV_line,04,0408006,0408006|2012005|3027005|2413003|1222004,33388,53.05327,18.9104,0.516
GRID-0096,line_110kV,12,1216006,1216006|0422003|0613002|0423002|1809003|3213003|1020001|0615007|3035002|2003002|0622004|1605003|2011005|3203001,49653,50.00367,19.66968,0.648
GRID-0097,MV_line,02,0201007,0201007|3009005|1021001|2017001|2404003,59964,51.2211,16.29149,0.411
GRID-0098,transformer,16,1609001,1609001|2819006,8982,50.96306,19.21194,0.437
GRID-0099,MV_line,32,3219006,3219006|2205001|0206003|3011004|2429004,23425,53.90058,15.14291,0.368
GRID-0100,line_110kV,16,1606007,1606007|1214001|2806003|2426002|0810002|3219005|1429006|0809003|0221001|3218001|1609003|1602006|2808001|0620002,56003,50.97182,18.40102,0.773
GRID-0101,transformer,14,1424001,1424001|2605005,3247,52.60339,21.00342,0.633
GRID-0102,MV_line,12,1212002,1212002|0405003|1804007|0813003|1209002,22094,50.9782,19.4281,0.118
GRID-0103,transformer,12,1217005,1217005|1014006,16538,50.06775,19.72553,0.181
GRID-0104,transformer,26,2611006,2611006|1003002,5958,50.93451,19.52775,0.51
GRID-0105,MV_line,02,0213005,0213005|2403004|2602003|1814006|2202003,30844,50.94948,16.72055,0.095
GRID-0106,GPZ,22,2202001,2202001|1429002|1024002|3018002|2203006|0604007|0624005|1611002,47621,54.77811,18.52224,0.361
GRID-0107,transformer,32,3205003,3205003|1441007,10494,53.35619,14.72759,0.76
GRID-0108,MV_line,24,2427004,2427004|0804004|2416005|2608004|1434003,28995,49.71865,18.8309,0.586
GRID-0109,line_110kV,08,0808006,0808006|0206003|1824003|3202001|0607005|0810003|2009002|2406005|1008004|0403007|0604002|1819006|2602004|1015001,69999,52.16274,15.60136,0.335
GRID-0110,line_110kV,04,0401005,0401005|1808002|3214002|2411002|0810007|2210006|1407003|0220007|0617004|1404007|2205006|2612005|1441001|3216001,107854,52.71022,17.99595,0.391
GRID-0111,MV_line,10,1010007,1010007|0423004|2431005|2013001|1425001,16405,52.03038,20.40475,0.409
GRID-0112,MV_line,24,2419001,2419001|0616002|0419003|0619003|2613001,24792,50.57399,18.63764,0.059
GRID-0113,line_110kV,28,2813001,2813001|3035002|3035001|2606004|1424002|0603003|3213006|1015007|2014002|2609005|2411002|1438005|3034002|0621002,76618,54.51094,21.42488,0.822
GRID-0114,MV_line,06,0606002,0606002|1018002|2211006|0212004|2203006,23291,51.21473,22.32243,0.379
GRID-0115,transformer,30,3023005,3023005|2612005,43922,52.74677,15.40525,0.385
GRID-0116,MV_line,04,0408003,0408003|3012001|0620005|1207003|0616005,48174,53.10721,18.82497,0.928
GRID-0117,transformer,10,1015006,1015006|0204001,3487,52.12018,18.73834,0.383
GRID-0118,MV_line,30,3022006,3022006|0619007|0223007|0623003|3201005,21620,52.62674,16.80576,0.302
GRID-0119,MV_line,12,1206005,1206005|3028001|1414002|0221004|0420004,29356,49.68202,19.71612,0.667
GRID-0120,MV_line,06,0620007,0620007|3015005|1010003|2403006|0201001,21346,50.82912,22.56962,0.973
GRID-0121,MV_line,14,1409003,1409003|1435005|3008005|2418006|0805006,13375,52.03169,20.98159,0.684
GRID-0122,MV_line,32,3203001,3203001|2821006|1817004|3011004|2813005,26941,52.52616,13.69638,0.469
GRID-0123,MV_line,12,1208006,1208006|1402006|0222004|1020001|0806007,23433,50.9495,18.81394,0.96
GRID-0124,transformer,14,1439003,1439003|0802004,15190,52.423,21.78058,0.361
GRID-0125,MV_line,32,3220002,3220002|1822002|1426003|0623002|2403002,23001,52.98331,15.34651,0.528
GRID-0126,MV_line,04,0414004,0414004|2012005|1005004|2208002|2426004,24207,53.02522,18.26561,0.585
GRID-0127,transformer,04,0419006,0419006|0807006,12154,52.50268,17.80587,0.094
GRID-0128,line_110kV,30,3010001,3010001|1022006|2006002|3028006|2814002|1005007|2401005|0813006|1607001|2411002|2010006|0216002|3221002|1408006,98498,51.69544,16.94531,0.208
GRID-0129,line_110kV,04,0416003,0416003|0612003|3018004|2212006|0409005|1802006|0423001|1824006|1805002|1423007|0809005|1218001|1424001|0206006,66995,53.07623,18.54756,0.337
GRID-0130,MV_line,06,0605003,0605003|2010004|0609004|0620002|1012006,26889,51.10765,22.24537,0.789
GRID-0131,transformer,30,3003004,3003004|3211001,3296,53.01525,16.15473,0.551
GRID-0132,GPZ,26,2613003,2613003|3034005|1429001|3020005|1422005|0605007|0229001|1009007,48251,51.2281,20.11425,0.258
GRID-0133,transformer,16,1608001,1608001|1015006,3866,51.10517,17.86284,0.396
GRID-0134,transformer,18,1812005,1812005|3020005,11027,50.25947,22.22719,0.304
GRID-0135,transformer,32,3215001,3215001|2604005,10471,54.20737,15.1245,0.435
GRID-0136,line_110kV,32,3213004,3213004|2815005|0814007|0621007|0807004|2010005|3031004|1420004|0401007|2004006|1409006|2220005|2427005|1017001,103587,52.879,13.76215,0.408
GRID-0137,transformer,24,2414005,2414005|2808001,7369,50.04887,19.26999,0.289
GRID-0138,line_110kV,14,1431006,1431006|2820004|1219007|1442005|0421007|1442006|2212005|1604007|0423006|0417004|0415007|1404004|0602006|1006005,106012,52.08208,20.51428,0.559
GRID-0139,GPZ,32,3201006,3201006|3022003|2801004|0207002|2404004|2812003|0803006|2606004,40619,53.2136,14.05715,0.272
GRID-0140,MV_line,28,2805001,2805001|0620007|2211006|0209001|1021002,34930,53.39767,19.70459,0.843
GRID-0141,transformer,02,0205002,0205002|1812005,13305,51.08121,16.42579,0.614
GRID-0142,transformer,14,1406007,1406007|0225006,35480,51.74556,20.72051,0.762
GRID-0143,transformer,24,2421003,2421003|1217005,13611,50.37019,18.69974,0.591
GRID-0144,GPZ,10,1012003,1012003|2815006|1818003|0230006|2403005|2803003|2010006|1009006,41763,51.01626,19.58932,0.38
GRID-0145,transformer,20,2006006,2006006|1410002,5025,53.1982,24.04018,0.932
GRID-0146,transformer,30,3012002,3012002|1433006,15894,52.64236,16.97497,0.371
GRID-0147,MV_line,14,1439001,1439001|1210005|0202003|3032003|2203006,77828,52.33894,21.04263,0.531
GRID-0148,transformer,12,1213002,1213002|0221006,26737,50.13833,20.19752,0.091
GRID-0149,transformer,24,2431002,2431002|0404005,57464,50.08402,18.66293,0.551
GRID-0150,GPZ,18,1820001,1820001|1802002|1438005|1818005|0610005|0204001|1815006|1018007,37258,50.03412,21.22617,0.491
GRID-0151,MV_line,22,2209004,2209004|2409002|2801001|1201005|0420005,18331,54.37679,18.91659,0.309
GRID-0152,MV_line,30,3005003,3005003|2215004|0620004|2611006|0205001,27535,52.06172,16.94208,0.623
GRID-0153,transformer,10,1001001,1001001|1218003,11869,51.71829,20.18806,0.412
GRID-0154,MV_line,24,2436003,2436003|1825006|2407004|1016005|3010003,13432,50.78699,19.74206,0.412
GRID-0155,line_110kV,14,1421005,1421005|2415001|1004005|0805006|1818004|2411003|0204003|1822003|1202001|0612006|1020007|1430005|0224004|0802002,110564,52.70991,20.82189,0.404
GRID-0156,MV_line,22,2204004,2204004|0219004|1003006|1202004|2606003,25358,54.20807,18.9279,0
GRID-0157,line_110kV,14,1419004,1419004|3019005|2803003|0622004|1612001|2208001|2807005|2017004|0624007|0612002|0611001|0213003|0621006|1001001,105558,52.68398,21.32786,0.693
GRID-0158,MV_line,18,1812001,1812001|0401004|1810005|2408003|3216005,27224,50.08499,22.14375,0.445
GRID-0159,MV_line,02,0205005,0205005|1429001|2610006|0419003|2407006,23725,50.99366,16.33044,0.344
GRID-0160,MV_line,14,1408007,1408007|1019003|1409007|1428004|0615003,18983,51.98328,21.00612,1
GRID-0161,transformer,14,1418002,1418002|2408001,17888,52.42515,21.94956,0.47
GRID-0162,MV_line,12,1202001,1202001|2808001|1016001|1020003|3212005,46443,50.25394,20.37708,0.546
GRID-0163,line_110kV,08,0811001,0811001|2209001|0223004|1424002|1022004|0809004|2406002|0211003|1202006|0601002|0230006|2011005|2213002|3002004,100968,51.55023,15.41832,0.459
GRID-0164,transformer,16,1601003,1601003|1215006,10290,50.26724,17.8618,0.088
GRID-0165,MV_line,18,1806005,1806005|2813002|2406005|0401002|1442001,31099,49.80021,22.01566,0.281
GRID-0166,line_110kV,06,0612003,0612003|1816005|2220004|1408004|1609002|0228006|1016003|0224007|0201003|0401004|1610002|1210001|1430007|2601003,96782,50.70669,22.16041,0.654
GRID-0167,transformer,14,1427007,1427007|2409002,4759,51.84533,20.81661,0.418
GRID-0168,line_110kV,10,1018002,1018002|1825003|1805005|1442001|0613002|0604005|0208007|3020006|0624002|1803006|1823002|1823006|3211002|3005002,101868,52.05492,20.33387,0
GRID-0169,MV_line,32,3221006,3221006|1208007|3208001|2014003|0422001,15176,53.77341,15.01158,0.134
GRID-0170,line_110kV,06,0610002,0610002|0618003|0225001|3209004|1021004|1022007|2419003|0605006|0414006|3017002|1811002|1440003|2602006|1204002,105334,51.78262,22.7743,0.784
GRID-0171,transformer,30,3008003,3008003|0622006,13565,52.08856,16.73458,0.561
GRID-0172,MV_line,10,1022002,1022002|3026005|1814002|2002001|2421002,43211,51.87324,19.84797,0.315
GRID-0173,transformer,06,0616005,0616005|2608005,22184,51.37736,23.01784,0.864
GRID-0174,MV_line,24,2401002,2401002|0213006|1007005|3218002|1424003,55605,51.21438,19.00499,0.403
GRID-0175,MV_line,06,0623004,0623004|0406005|1021003|2206004|2803001,86300,50.98883,22.12221,0.766
GRID-0176,transformer,30,3007004,3007004|1006006,17454,51.58508,16.68465,0.481
GRID-0177,transformer,24,2414001,2414001|3028001,5418,50.06641,19.40106,0.357
GRID-0178,MV_line,22,2201004,2201004|1207001|1017005|0203001|1003005,12932,54.0911,19.72874,0.827
GRID-0179,line_110kV,30,3034004,3034004|2815002|2426001|2809001|3002004|1415004|1441004|1214007|1437003|1421001|3021001|0617005|1010001|1217001,51647,52.31153,15.91505,0.013
GRID-0180,MV_line,02,0227005,0227005|0223007|0810005|1426004|0801006,56815,50.52087,16.81395,0.457
GRID-0181,transformer,14,1422002,1422002|1409005,7746,51.99856,20.41852,0.875
GRID-0182,MV_line,12,1208007,1208007|1814003|2004001|1611007|0419005,15459,50.91862,18.93686,0.551
GRID-0183,line_110kV,30,3019001,3019001|2213006|1436004|1611007|0404004|0207001|1819006|1214003|1427005|1013003|1413006|0210002|3011001|3207003,89563,52.33528,16.31705,0.218
GRID-0184,transformer,06,0610002,0610002|1414005,11486,51.78262,22.7743,0.947
GRID-0185,MV_line,32,3221005,3221005|1215001|1611006|1421002|1205003,25595,53.8287,14.89568,0.274
GRID-0186,MV_line,32,3206002,3206002|1001001|2419005|1221005|2411003,52295,52.9572,13.73739,0.391
GRID-0187,line_110kV,20,2003005,2003005|0602006|2803005|1016002|2428005|1018002|1013001|1020004|3033001|2614001|1015004|1429001|0213003|1603004,78471,53.10933,22.35993,0.467
GRID-0188,transformer,10,1005003,1005003|1019007,6145,52.46285,19.42198,0.217
GRID-0189,line_110kV,04,0411005,0411005|1407004|2425005|2209006|0606005|3003005|0804003|0207007|3221001|0606003|2010001|2014002|0213001|0612003,66125,52.91485,18.08799,0.676
GRID-0190,transformer,02,0208007,0208007|0801003,20884,51.30519,16.55979,0.306
GRID-0191,transformer,14,1409003,1409003|0807004,4490,52.03169,20.98159,0.6
GRID-0192,GPZ,32,3218004,3218004|0610002|3014003|1808002|0420006|1204003|0805004|2607001,41219,53.00095,15.8197,0.696
GRID-0193,transformer,30,3028003,3028003|1601007,35357,51.83367,16.97109,0.145
GRID-0194,MV_line,18,1804001,1804001|0403005|3015002|1420004|0620001,64297,50.18536,20.74293,0.201
GRID-0195,transformer,02,0213003,0213003|3015006,25721,50.77454,16.5633,0.505
GRID-0196,line_110kV,14,1437005,1437005|0806007|0201005|1217002|0215001|1218005|2406005|2015002|0810002|1818003|1431006|1218002|2014005|0613006,124145,51.95279,21.19608,0.564
GRID-0197,line_110kV,26,2614006,2614006|1217003|0607004|1428007|1821001|0415005|1805002|0617002|1823002|0420005|0226003|3221006|0812003|1014002,47375,50.67448,20.88597,0.307
GRID-0198,MV_line,24,2407005,2407005|1016001|2405003|0811007|1440004,28629,50.55853,19.92944,0.684
GRID-0199,MV_line,14,1431007,1431007|1422005|2805006|2004001|1419003,39781,52.14175,20.31717,0.813
GRID-0200,transformer,04,0415005,0415005|0809006,7596,53.3174,18.72863,0.529
GRID-0201,line_110kV,16,1609003,1609003|2605005|0410003|0614002|3203004|2406006|1426007|0808005|0423007|1611001|0622005|1016003|2015001|1817006,56423,50.84411,18.92783,0.245
GRID-0202,MV_line,16,1608006,1608006|2217005|3219006|1805001|0804007,43943,51.21697,18.35088,0.439
GRID-0203,MV_line,14,1407007,1407007|2804004|3011006|3008004|2801003,38819,52.12044,21.31702,0.374
GRID-0204,MV_line,30,3007005,3007005|2014005|0419007|3205005|2403001,38076,51.82072,16.73525,0.513
GRID-0205,MV_line,30,3003006,3003006|0422001|1401005|1824001|0202005,21263,53.0513,16.10811,0.425
GRID-0206,transformer,12,1204007,1204007|1824004,7196,49.25768,19.78221,0.48
GRID-0207,MV_line,30,3025003,3025003|0612004|0405007|1815004|1823004,21082,51.67151,16.44398,0.288
GRID-0208,MV_line,08,0805004,0805004|3020004|2402004|1405007|1209003,36227,53.04157,15.03027,0.378
GRID-0209,GPZ,12,1217003,1217003|0616005|0807006|2009006|0216003|2405001|2005006|0402005,32311,50.33654,19.65062,0.791
GRID-0210,MV_line,06,0610001,0610001|2604005|3214004|1002004|0218005,16867,51.43313,22.93415,0.345
GRID-0211,MV_line,08,0809007,0809007|1407003|0416001|0208003|3032005,24215,51.9351,15.63586,0.277
GRID-0212,line_110kV,22,2219003,2219003|2435006|0805007|3004002|1439002|2436001|2216001|1807003|2418002|0208006|1431006|0613001|1001002|0406001,88676,54.15968,17.89692,0.379
GRID-0213,MV_line,02,0219006,0219006|2808005|1003006|0207003|2205005,32603,51.06396,16.48299,0.246
GRID-0214,MV_line,24,2404003,2404003|3022003|1414007|3034005|2807005,31071,50.36296,19.17473,0.269
GRID-0215,transformer,16,1601001,1601001|1001006,5998,50.15368,17.54867,0.29
GRID-0216,transformer,14,1423001,1423001|2009006,9224,52.58882,20.44398,0.503
GRID-0217,transformer,06,0621002,0621002|0403006,6494,51.08378,22.67994,0.541
GRID-0218,MV_line,12,1214001,1214001|0416002|2434006|2605001|1605002,36765,50.15322,19.61346,0.553
GRID-0219,transformer,22,2211005,2211005|0402007,5194,54.05092,18.91999,0.631
GRID-0220,MV_line,20,2005005,2005005|1421007|0611004|0609001|0416004,32012,52.96327,23.37085,0.604
GRID-0221,MV_line,18,1824005,1824005|0217003|1404002|1429001|1005002,19323,49.33272,21.91974,0.63
GRID-0222,line_110kV,30,3013006,3013006|3216005|0207003|1602007|1019006|3020005|1204001|0219007|1404005|1421004|0420006|3033003|3029005|0227002,82022,52.12522,16.10242,0.36
GRID-0223,transformer,30,3029001,3029001|0227006,7175,53.00671,16.47777,0.322
GRID-0224,MV_line,02,0229001,0229001|0205007|1820004|1429002|2206006,22207,51.15911,17.67962,0.136
GRID-0225,line_110kV,28,2806004,2806004|1820001|0623006|0604007|1803007|2213002|2808006|0607001|2807006|0811007|0214007|3210001|2013001|2604005,59653,54.05217,20.73553,1
GRID-0226,transformer,32,3209003,3209003|1433006,9688,53.60548,14.89619,0.598
GRID-0227,line_110kV,10,1004003,1004003|0417001|0602005|1221004|1212002|0806003|1004002|2807004|2817004|3001003|1810002|2420004|0624006|1808004,85802,51.22003,20.12914,0.589
GRID-0228,MV_line,14,1434002,1434002|0224003|2016005|1403007|1208002,15306,51.27015,20.76683,0.74
GRID-0229,transformer,04,0414007,0414007|2804005,4747,52.78684,18.54258,0.033
GRID-0230,transformer,06,0604007,0604007|1603001,14182,51.06415,21.92195,0.753
GRID-0231,transformer,30,3017005,3017005|2805005,8727,52.84771,17.10787,0.496
GRID-0232,MV_line,06,0603001,0603001|1436007|1004004|0410007|1427007,50014,51.27508,22.63942,1
GRID-0233,MV_line,32,3202005,3202005|0412005|1014006|2429005|1414007,34478,53.15449,15.36938,0.672
GRID-0234,transformer,26,2602002,2602002|0806002,6121,50.2295,19.73228,0.185
GRID-0235,transformer,06,0620004,0620004|0224002,5220,50.81175,22.46175,0.367
GRID-0236,transformer,18,1825002,1825002|2214003,3861,49.5724,21.95113,0.266
GRID-0237,MV_line,06,0623004,0623004|1605004|2007002|0419006|2217002,52579,50.98883,22.12221,0.775
GRID-0238,MV_line,28,2810004,2810004|0404003|1407002|3027001|0205005,14825,53.85553,20.13985,0.618
GRID-0239,transformer,08,0814004,0814004|2008005,4751,52.64831,15.93451,0.131
GRID-0240,MV_line,10,1002005,1002005|1216004|2017002|2430005|0602005,29119,51.76756,20.282,0.48
GRID-0241,MV_line,18,1815003,1815003|2432004|0611006|0421002|1015004,66344,49.38234,20.97988,0.561
