generator_id,warehouse_id,voivodeship_code,power_kw,fuel_type,mobility_type,status,lat,lon
GEN-0091,RARS-OLS,28,120,diesel,trailer,reserved,53.78,20.48
GEN-0092,RARS-LUB,06,50,petrol,trailer,available,51.25,22.57
GEN-0093,RARS-LUB,06,80,diesel,trailer,available,51.25,22.57
GEN-0094,RARS-OLS,28,30,LPG,trailer,available,53.78,20.48
GEN-0095,RARS-LUB,06,12,LPG,portable,available,51.25,22.57
GEN-0096,RARS-POZ,30,120,LPG,trailer,maintenance,52.41,16.93
GEN-0097,RARS-OLS,28,8,LPG,portable,available,53.78,20.48
GEN-0098,RCB-WAW,14,12,diesel,portable,maintenance,52.23,21.01
GEN-0099,MSW-BIA,20,80,LPG,trailer,maintenance,53.13,23.16
GEN-0100,RARS-OLS,28,120,LPG,trailer,available,53.78,20.48
GEN-0101,RARS-OLS,28,200,LPG,portable,available,53.78,20.48
GEN-0102,RARS-OLS,28,120,LPG,portable,available,53.78,20.48
GEN-0103,MSW-BIA,20,8,LPG,portable,maintenance,53.13,23.16
GEN-0104,RCB-WAW,14,50,petrol,portable,reserved,52.23,21.01
GEN-0105,RARS-LUB,06,80,LPG,trailer,maintenance,51.25,22.57
GEN-0106,MSW-BIA,20,50,petrol,portable,available,53.13,23.16
GEN-0107,RARS-LUB,06,20,diesel,trailer,reserved,51.25,22.57
GEN-0108,RARS-LUB,06,120,petrol,portable,available,51.25,22.57
GEN-0109,RARS-OLS,28,12,petrol,portable,available,53.78,20.48
GEN-0110,RARS-POZ,30,30,petrol,portable,available,52.41,16.93
GEN-0111,RCB-WAW,14,120,petrol,trailer,available,52.23,21.01
GEN-0112,RARS-OLS,28,30,petrol,portable,available,53.78,20.48
GEN-0113,RARS-LUB,06,200,petrol,portable,maintenance,51.25,22.57
GEN-0114,RARS-LUB,06,8,diesel,portable,available,51.25,22.57
GEN-0115,RARS-LUB,06,50,LPG,trailer,available,51.25,22.57
GEN-0116,RCB-WAW,14,30,diesel,trailer,available,52.23,21.01
GEN-0117,RARS-OLS,28,50,diesel,trailer,available,53.78,20.48
GEN-0118,RARS-OLS,28,20,petrol,trailer,maintenance,53.78,20.48
GEN-0119,RARS-LUB,06,12,petrol,portable,maintenance,51.25,22.57
GEN-0120,RARS-OLS,28,8,diesel,portable,available,53.78,20.48
GEN-0121,RARS-LUB,06,8,petrol,portable,available,51.25,22.57
GEN-0122,MSW-BIA,20,30,diesel,trailer,reserved,53.13,23.16
GEN-0123,MSW-BIA,20,8,petrol,portable,available,53.13,23.16
GEN-0124,RCB-WAW,14,200,petrol,trailer,available,52.23,21.01
GEN-0125,RARS-POZ,30,30,petrol,trailer,available,52.41,16.93
GEN-0126,RARS-OLS,28,120,LPG,trailer,reserved,53.78,20.48
GEN-0127,RARS-LUB,06,50,petrol,trailer,maintenance,51.25,22.57
GEN-0128,MSW-BIA,20,80,LPG,trailer,maintenance,53.13,23.16
GEN-0129,MSW-BIA,20,80,LPG,trailer,available,53.13,23.16
GEN-0130,MSW-BIA,20,12,LPG,portable,available,53.13,23.16
GEN-0131,RARS-POZ,30,80,diesel,portable,available,52.41,16.93
GEN-0132,RARS-LUB,06,30,petrol,trailer,reserved,51.25,22.57
GEN-0133,RARS-OLS,28,200,petrol,trailer,available,53.78,20.48
GEN-0134,MSW-BIA,20,8,LPG,portable,available,53.13,23.16
GEN-0135,RCB-WAW,14,80,petrol,portable,available,52.23,21.01
GEN-0136,RARS-LUB,06,12,LPG,portable,available,51.25,22.57
GEN-0137,RARS-LUB,06,8,LPG,portable,available,51.25,22.57
GEN-0138,RARS-OLS,28,20,petrol,trailer,available,53.78,20.48
GEN-0139,RARS-POZ,30,50,petrol,trailer,reserved,52.41,16.93
GEN-0140,RARS-POZ,30,120,diesel,portable,maintenance,52.41,16.93
GEN-0141,RARS-POZ,30,80,diesel,portable,available,52.41,16.93
GEN-0142,RARS-LUB,06,12,diesel,portable,available,51.25,22.57
GEN-0143,RARS-POZ,30,120,LPG,trailer,available,52.41,16.93
GEN-0144,RARS-POZ,30,20,diesel,trailer,maintenance,52.41,16.93
GEN-0145,RCB-WAW,14,80,diesel,trailer,available,52.23,21.01
GEN-0146,RARS-OLS,28,120,petrol,trailer,available,53.78,20.48
GEN-0147,RARS-LUB,06,20,diesel,trailer,available,51.25,22.57
GEN-0148,RARS-OLS,28,50,petrol,trailer,available,53.78,20.48
GEN-0149,MSW-BIA,20,30,petrol,portable,available,53.13,23.16
GEN-0150,RARS-LUB,06,200,diesel,trailer,available,51.25,22.57
GEN-0151,RARS-POZ,30,8,LPG,portable,available,52.41,16.93
GEN-0152,RARS-LUB,06,12,diesel,portable,available,51.25,22.57
GEN-0153,RARS-POZ,30,8,diesel,portable,available,52.41,16.93
GEN-0154,RARS-LUB,06,8,LPG,portable,available,51.25,22.57
GEN-0155,RCB-WAW,14,20,diesel,trailer,available,52.23,21.01
GEN-0156,RARS-POZ,30,30,petrol,trailer,available,52.41,16.93
GEN-0157,MSW-BIA,20,80,LPG,trailer,available,53.13,23.16
GEN-0158,MSW-BIA,20,20,petrol,trailer,available,53.13,23.16
GEN-0159,RARS-POZ,30,12,petrol,portable,maintenance,52.41,16.93
GEN-0160,RCB-WAW,14,80,LPG,trailer,available,52.23,21.01
GEN-0161,RCB-WAW,14,200,diesel,trailer,maintenance,52.23,21.01
GEN-0162,RARS-LUB,06,200,LPG,trailer,available,51.25,22.57
GEN-0163,RARS-OLS,28,12,LPG,portable,available,53.78,20.48
GEN-0164,RARS-LUB,06,30,petrol,trailer,maintenance,51.25,22.57
GEN-0165,RARS-OLS,28,30,petrol,trailer,available,53.78,20.48
GEN-0166,RARS-OLS,28,12,LPG,portable,available,53.78,20.48
GEN-0167,RARS-LUB,06,120,LPG,trailer,available,51.25,22.57
GEN-0168,MSW-BIA,20,200,diesel,trailer,available,53.13,23.16
GEN-0169,RARS-OLS,28,120,petrol,trailer,available,53.78,20.48
GEN-0170,RCB-WAW,14,80,LPG,trailer,available,52.23,21.01
GEN-0171,RARS-OLS,28,50,LPG,trailer,available,53.78,20.48
GEN-0172,RCB-WAW,14,30,diesel,trailer,available,52.23,21.01
GEN-0173,RARS-POZ,30,20,LPG,trailer,available,52.41,16.93
GEN-0174,RCB-WAW,14,8,petrol,portable,available,52.23,21.01
GEN-0175,RARS-LUB,06,8,LPG,portable,reserved,51.25,22.57
GEN-0176,RARS-POZ,30,20,LPG,trailer,available,52.41,16.93
GEN-0177,MSW-BIA,20,12,petrol,portable,maintenance,53.13,23.16
GEN-0178,MSW-BIA,20,80,diesel,trailer,available,53.13,23.16
GEN-0179,RARS-POZ,30,8,diesel,portable,maintenance,52.41,16.93
GEN-0180,MSW-BIA,20,12,petrol,portable,available,53.13,23.16
GEN-0181,MSW-BIA,20,80,diesel,portable,reserved,53.13,23.16
GEN-0182,RARS-LUB,06,120,diesel,trailer,available,51.25,22.57
GEN-0183,RARS-POZ,30,50,petrol,trailer,available,52.41,16.93
GEN-0184,RARS-LUB,06,30,LPG,trailer,available,51.25,22.57
GEN-0185,RCB-WAW,14,120,petrol,trailer,reserved,52.23,21.01
GEN-0186,MSW-BIA,20,200,petrol,trailer,available,53.13,23.16
GEN-0187,RARS-OLS,28,8,LPG,portable,reserved,53.78,20.48
GEN-0188,MSW-BIA,20,30,diesel,trailer,available,53.13,23.16
GEN-0189,RARS-OLS,28,12,diesel,portable,available,53.78,20.48
GEN-0190,MSW-BIA,20,50,LPG,trailer,available,53.13,23.16
GEN-0191,RARS-LUB,06,50,petrol,portable,available,51.25,22.57
GEN-0192,RCB-WAW,14,120,diesel,portable,available,52.23,21.01
GEN-0193,RARS-OLS,28,30,diesel,trailer,available,53.78,20.48
GEN-0194,RARS-OLS,28,12,diesel,portable,available,53.78,20.48
GEN-0195,RARS-OLS,28,20,diesel,portable,reserved,53.78,20.48
GEN-0196,MSW-BIA,20,120,LPG,trailer,reserved,53.13,23.16
GEN-0197,RARS-OLS,28,8,LPG,portable,maintenance,53.78,20.48
GEN-0198,MSW-BIA,20,30,LPG,trailer,available,53.13,23.16
GEN-0199,MSW-BIA,20,80,petrol,portable,available,53.13,23.16
GEN-0200,MSW-BIA,20,8,petrol,portable,available,53.13,23.16
GEN-0201,RARS-LUB,06,12,diesel,portable,available,51.25,22.57
GEN-0202,MSW-BIA,20,80,LPG,trailer,available,53.13,23.16
GEN-0203,RARS-OLS,28,12,diesel,portable,available,53.78,20.48
GEN-0204,RARS-LUB,06,20,diesel,trailer,available,51.25,22.57
GEN-0205,RCB-WAW,14,12,petrol,portable,available,52.23,21.01
GEN-0206,RCB-WAW,14,20,LPG,portable,available,52.23,21.01
GEN-0207,MSW-BIA,20,12,LPG,portable,available,53.13,23.16
GEN-0208,RARS-OLS,28,8,LPG,portable,available,53.78,20.48
GEN-0209,RARS-OLS,28,12,diesel,portable,reserved,53.78,20.48
GEN-0210,RCB-WAW,14,12,diesel,portable,available,52.23,21.01
GEN-0211,RARS-OLS,28,120,petrol,trailer,available,53.78,20.48
GEN-0212,MSW-BIA,20,200,LPG,trailer,maintenance,53.13,23.16
GEN-0213,RARS-OLS,28,200,diesel,trailer,reserved,53.78,20.48
GEN-0214,MSW-BIA,20,20,petrol,trailer,available,53.13,23.16
GEN-0215,RARS-OLS,28,50,diesel,trailer,available,53.78,20.48
GEN-0216,RARS-LUB,06,20,diesel,trailer,available,51.25,22.57
GEN-0217,RARS-POZ,30,30,petrol,trailer,available,52.41,16.93
GEN-0218,MSW-BIA,20,120,petrol,portable,available,53.13,23.16
GEN-0219,RARS-OLS,28,200,petrol,trailer,available,53.78,20.48
GEN-0220,RARS-OLS,28,20,LPG,trailer,available,53.78,20.48
GEN-0221,MSW-BIA,20,30,LPG,trailer,available,53.13,23.16
GEN-0222,RARS-OLS,28,120,petrol,trailer,available,53.78,20.48
GEN-0223,MSW-BIA,20,200,diesel,trailer,available,53.13,23.16
GEN-0224,RARS-POZ,30,120,diesel,trailer,available,52.41,16.93
GEN-0225,MSW-BIA,20,120,LPG,trailer,maintenance,53.13,23.16
GEN-0226,RCB-WAW,14,30,petrol,trailer,available,52.23,21.01
GEN-0227,RARS-POZ,30,20,LPG,trailer,reserved,52.41,16.93
GEN-0228,MSW-BIA,20,20,petrol,trailer,available,53.13,23.16
GEN-0229,MSW-BIA,20,200,petrol,trailer,reserved,53.13,23.16
GEN-0230,RARS-POZ,30,8,LPG,portable,available,52.41,16.93
GEN-0231,RCB-WAW,14,12,diesel,portable,available,52.23,21.01
GEN-0232,RCB-WAW,14,80,diesel,trailer,maintenance,52.23,21.01
GEN-0233,MSW-BIA,20,20,diesel,trailer,available,53.13,23.16
GEN-0234,RARS-POZ,30,80,LPG,portable,available,52.41,16.93
GEN-0235,RARS-LUB,06,20,petrol,trailer,reserved,51.25,22.57
GEN-0236,MSW-BIA,20,20,diesel,trailer,available,53.13,23.16
GEN-0237,RARS-POZ,30,120,diesel,trailer,available,52.41,16.93
GEN-0238,RARS-LUB,06,30,diesel,trailer,available,51.25,22.57
GEN-0239,RARS-OLS,28,12,diesel,portable,available,53.78,20.48
GEN-0240,RARS-OLS,28,200,petrol,trailer,reserved,53.78,20.48
GEN-0241,RARS-POZ,30,80,petrol,trailer,available,52.41,16.93
GEN-0242,RCB-WAW,14,200,LPG,trailer,reserved,52.23,21.01
GEN-0243,RCB-WAW,14,80,diesel,trailer,available,52.23,21.01
GEN-0244,RARS-OLS,28,20,diesel,portable,reserved,53.78,20.48
GEN-0245,MSW-BIA,20,80,petrol,trailer,maintenance,53.13,23.16
GEN-0246,RCB-WAW,14,80,LPG,portable,available,52.23,21.01
GEN-0247,RARS-POZ,30,120,diesel,trailer,available,52.41,16.93
GEN-0248,RARS-POZ,30,50,LPG,portable,available,52.41,16.93
GEN-0249,RARS-LUB,06,20,diesel,trailer,available,51.25,22.57
GEN-0250,RARS-LUB,06,200,petrol,trailer,available,51.25,22.57
GEN-0251,RARS-OLS,28,12,petrol,portable,available,53.78,20.48
GEN-0252,MSW-BIA,20,8,LPG,portable,available,53.13,23.16
GEN-0253,RARS-LUB,06,120,diesel,portable,available,51.25,22.57
GEN-0254,RCB-WAW,14,50,LPG,trailer,available,52.23,21.01
GEN-0255,RARS-POZ,30,120,petrol,trailer,available,52.41,16.93
GEN-0256,RARS-LUB,06,50,LPG,trailer,available,51.25,22.57
GEN-0257,RCB-WAW,14,200,LPG,trailer,available,52.23,21.01
GEN-0258,RARS-LUB,06,12,diesel,portable,reserved,51.25,22.57
GEN-0259,RCB-WAW,14,30,diesel,trailer,available,52.23,21.01
GEN-0260,RARS-POZ,30,30,diesel,portable,available,52.41,16.93
GEN-0261,RCB-WAW,14,80,LPG,trailer,available,52.23,21.01
GEN-0262,RARS-OLS,28,80,LPG,trailer,available,53.78,20.48
GEN-0263,MSW-BIA,20,30,LPG,portable,available,53.13,23.16
GEN-0264,RCB-WAW,14,8,petrol,portable,reserved,52.23,21.01
GEN-0265,MSW-BIA,20,30,diesel,trailer,available,53.13,23.16
GEN-0266,RARS-POZ,30,30,petrol,portable,available,52.41,16.93
GEN-0267,RARS-OLS,28,20,petrol,trailer,available,53.78,20.48
GEN-0268,RCB-WAW,14,200,diesel,trailer,available,52.23,21.01
GEN-0269,MSW-BIA,20,50,diesel,portable,available,53.13,23.16
GEN-0270,MSW-BIA,20,12,LPG,portable,reserved,53.13,23.16
GEN-0271,MSW-BIA,20,20,petrol,portable,available,53.13,23.16
GEN-0272,RARS-OLS,28,50,LPG,trailer,available,53.78,20.48
GEN-0273,MSW-BIA,20,120,petrol,portable,reserved,53.13,23.16
GEN-0274,RARS-POZ,30,8,LPG,portable,reserved,52.41,16.93
GEN-0275,RARS-LUB,06,50,diesel,trailer,available,51.25,22.57
GEN-0276,RARS-LUB,06,8,LPG,portable,reserved,51.25,22.57
GEN-0277,RARS-OLS,28,12,LPG,portable,reserved,53.78,20.48
GEN-0278,RARS-OLS,28,8,LPG,portable,available,53.78,20.48
GEN-0279,RARS-LUB,06,80,LPG,trailer,available,51.25,22.57
GEN-0280,RCB-WAW,14,50,LPG,portable,available,52.23,21.01
GEN-0281,RARS-OLS,28,80,petrol,trailer,available,53.78,20.48
GEN-0282,RARS-POZ,30,30,diesel,trailer,available,52.41,16.93
GEN-0283,RARS-LUB,06,120,petrol,portable,available,51.25,22.57
GEN-0284,RARS-OLS,28,200,petrol,trailer,available,53.78,20.48
GEN-0285,RARS-OLS,28,120,diesel,portable,reserved,53.78,20.48
GEN-0286,RARS-OLS,28,20,petrol,trailer,available,53.78,20.48
GEN-0287,MSW-BIA,20,20,LPG,portable,available,53.13,23.16
GEN-0288,RCB-WAW,14,120,petrol,trailer,available,52.23,21.01
GEN-0289,RCB-WAW,14,200,petrol,trailer,reserved,52.23,21.01
GEN-0290,RARS-POZ,30,50,diesel,trailer,available,52.41,16.93
GEN-0291,RARS-OLS,28,120,petrol,portable,available,53.78,20.48
GEN-0292,RCB-WAW,14,80,diesel,trailer,available,52.23,21.01
GEN-0293,RARS-OLS,28,50,diesel,trailer,maintenance,53.78,20.48
GEN-0294,MSW-BIA,20,120,petrol,trailer,available,53.13,23.16
GEN-0295,MSW-BIA,20,80,LPG,trailer,available,53.13,23.16
GEN-0296,RARS-POZ,30,12,LPG,portable,available,52.41,16.93
GEN-0297,RARS-LUB,06,80,LPG,trailer,available,51.25,22.57
GEN-0298,MSW-BIA,20,80,LPG,portable,available,53.13,23.16
GEN-0299,RARS-OLS,28,80,petrol,trailer,maintenance,53.78,20.48
GEN-0300,MSW-BIA,20,80,LPG,portable,maintenance,53.13,23.16
GEN-0301,RARS-LUB,06,80,LPG,portable,available,51.25,22.57
GEN-0302,MSW-BIA,20,80,LPG,trailer,maintenance,53.13,23.16
GEN-0303,RARS-POZ,30,30,diesel,trailer,available,52.41,16.93
GEN-0304,RCB-WAW,14,80,LPG,portable,available,52.23,21.01
GEN-0305,MSW-BIA,20,80,diesel,trailer,available,53.13,23.16
GEN-0306,RARS-LUB,06,12,petrol,portable,available,51.25,22.57
GEN-0307,MSW-BIA,20,50,LPG,trailer,reserved,53.13,23.16
GEN-0308,RCB-WAW,14,200,diesel,trailer,available,52.23,21.01
GEN-0309,RARS-LUB,06,200,LPG,trailer,available,51.25,22.57
GEN-0310,RARS-LUB,06,200,petrol,trailer,available,51.25,22.57
GEN-0311,MSW-BIA,20,12,petrol,portable,reserved,53.13,23.16
GEN-0312,MSW-BIA,20,50,diesel,portable,available,53.13,23.16
GEN-0313,RCB-WAW,14,50,petrol,trailer,available,52.23,21.01
GEN-0314,RCB-WAW,14,120,diesel,trailer,reserved,52.23,21.01
GEN-0315,MSW-BIA,20,200,LPG,trailer,available,53.13,23.16
GEN-0316,RARS-OLS,28,80,diesel,portable,available,53.78,20.48
GEN-0317,MSW-BIA,20,200,petrol,trailer,available,53.13,23.16
GEN-0318,RCB-WAW,14,12,diesel,portable,reserved,52.23,21.01
GEN-0319,RARS-POZ,30,200,petrol,trailer,reserved,52.41,16.93
GEN-0320,RARS-OLS,28,8,LPG,portable,available,53.78,20.48
GEN-0321,RARS-LUB,06,120,diesel,trailer,reserved,51.25,22.57
GEN-0322,RCB-WAW,14,50,petrol,trailer,available,52.23,21.01
GEN-0323,RARS-POZ,30,8,LPG,portable,available,52.41,16.93
GEN-0324,MSW-BIA,20,200,diesel,portable,available,53.13,23.16
GEN-0325,RCB-WAW,14,20,LPG,trailer,reserved,52.23,21.01
GEN-0326,RARS-LUB,06,80,diesel,trailer,reserved,51.25,22.57
GEN-0327,RARS-OLS,28,120,LPG,trailer,available,53.78,20.48
GEN-0328,RARS-OLS,28,20,LPG,portable,reserved,53.78,20.48
GEN-0329,RARS-OLS,28,20,diesel,portable,reserved,53.78,20.48
GEN-0330,MSW-BIA,20,30,diesel,trailer,available,53.13,23.16
GEN-0331,RCB-WAW,14,30,petrol,trailer,available,52.23,21.01
GEN-0332,MSW-BIA,20,20,diesel,trailer,available,53.13,23.16
GEN-0333,RARS-OLS,28,8,LPG,portable,reserved,53.78,20.48
GEN-0334,RARS-OLS,28,8,LPG,portable,available,53.78,20.48
GEN-0335,RARS-OLS,28,12,diesel,portable,available,53.78,20.48
GEN-0336,RCB-WAW,14,30,diesel,trailer,available,52.23,21.01
GEN-0337,RCB-WAW,14,80,LPG,portable,available,52.23,21.01
GEN-0338,MSW-BIA,20,20,LPG,trailer,available,53.13,23.16
GEN-0339,RARS-POZ,30,50,petrol,trailer,available,52.41,16.93
GEN-0340,MSW-BIA,20,30,LPG,trailer,available,53.13,23.16
GEN-0341,RARS-LUB,06,120,diesel,trailer,available,51.25,22.57
GEN-0342,RARS-OLS,28,120,diesel,trailer,available,53.78,20.48
GEN-0343,RCB-WAW,14,30,diesel,portable,reserved,52.23,21.01
GEN-0344,RARS-LUB,06,30,LPG,portable,available,51.25,22.57
GEN-0345,RCB-WAW,14,30,LPG,portable,reserved,52.23,21.01
GEN-0346,MSW-BIA,20,8,petrol,portable,available,53.13,23.16
GEN-0347,MSW-BIA,20,80,diesel,trailer,available,53.13,23.16
GEN-0348,RARS-LUB,06,200,petrol,trailer,available,51.25,22.57
GEN-0349,RARS-OLS,28,200,LPG,trailer,reserved,53.78,20.48
GEN-0350,MSW-BIA,20,12,LPG,portable,available,53.13,23.16
GEN-0351,RCB-WAW,14,8,LPG,portable,available,52.23,21.01
GEN-0352,RCB-WAW,14,50,diesel,trailer,available,52.23,21.01
GEN-0353,RARS-POZ,30,20,diesel,trailer,available,52.41,16.93
GEN-0354,MSW-BIA,20,120,LPG,portable,available,53.13,23.16
GEN-0355,RARS-OLS,28,8,petrol,portable,reserved,53.78,20.48
GEN-0356,RCB-WAW,14,50,diesel,trailer,maintenance,52.23,21.01
GEN-0357,MSW-BIA,20,12,LPG,portable,reserved,53.13,23.16
GEN-0358,RCB-WAW,14,200,diesel,trailer,available,52.23,21.01
GEN-0359,MSW-BIA,20,200,LPG,trailer,available,53.13,23.16
GEN-0360,RCB-WAW,14,200,diesel,trailer,available,52.23,21.01
GEN-0361,RCB-WAW,14,120,LPG,trailer,available,52.23,21.01
GEN-0362,RARS-OLS,28,200,petrol,trailer,available,53.78,20.48
GEN-0363,RCB-WAW,14,12,petrol,portable,available,52.23,21.01
GEN-0364,RARS-OLS,28,30,petrol,trailer,available,53.78,20.48
GEN-0365,MSW-BIA,20,30,LPG,trailer,available,53.13,23.16
GEN-0366,RCB-WAW,14,120,LPG,portable,available,52.23,21.01
GEN-0367,MSW-BIA,20,8,petrol,portable,available,53.13,23.16
GEN-0368,RARS-POZ,30,80,petrol,portable,available,52.41,16.93
GEN-0369,RARS-LUB,06,80,LPG,trailer,available,51.25,22.57
GEN-0370,RARS-LUB,06,120,diesel,trailer,available,51.25,22.57
GEN-0371,RARS-LUB,06,50,diesel,portable,reserved,51.25,22.57
GEN-0372,RARS-OLS,28,120,petrol,portable,available,53.78,20.48
