facility_id,facility_type,facility_name,gmina_code,capacity,current_occupancy,has_generator,generator_autonomy_hours,power_need_kw,lat,lon,sensitivity_label
FAC-0018,DPS,DPS 0018,3003003,127,79,True,1.5,70.2,53.02741,16.22306,Confidential - synthetic health/care aggregate
FAC-0019,hospital,hospital 0019,0417006,172,112,True,12.2,78.7,52.81182,18.58893,Confidential - synthetic health/care aggregate
FAC-0020,DPS,DPS 0020,3002006,72,51,True,11.6,35.2,53.11557,16.7252,Confidential - synthetic health/care aggregate
FAC-0021,DPS,DPS 0021,0813005,56,54,False,0,26.9,52.19637,15.56648,Confidential - synthetic health/care aggregate
FAC-0022,ZOL,ZOL 0022,2411002,99,78,True,2.4,59.7,50.87786,19.25228,Confidential - synthetic health/care aggregate
FAC-0023,DPS,DPS 0023,2807006,167,161,True,1.9,60.4,53.52832,21.16402,Confidential - synthetic health/care aggregate
FAC-0024,DPS,DPS 0024,2430003,71,54,True,12.1,67.0,50.66792,19.64496,Confidential - synthetic health/care aggregate
FAC-0025,night_shelter,night_shelter 0025,2216001,112,94,False,0,80.8,53.69752,18.46904,Confidential - synthetic health/care aggregate
FAC-0026,night_shelter,night_shelter 0026,1439005,31,21,True,2.0,20.8,52.39654,21.20348,Confidential - synthetic health/care aggregate
FAC-0027,night_shelter,night_shelter 0027,1816006,64,62,True,7.3,22.5,49.83334,22.30788,Confidential - synthetic health/care aggregate
FAC-0028,homeless_shelter,homeless_shelter 0028,1006007,82,68,False,0,50.3,51.80228,20.27015,Confidential - synthetic health/care aggregate
FAC-0029,DPS,DPS 0029,1413004,110,88,True,3.6,98.2,51.35919,20.96425,Confidential - synthetic health/care aggregate
FAC-0030,hospital,hospital 0030,1427002,229,144,True,16.5,164.5,51.64333,20.85236,Confidential - synthetic health/care aggregate
FAC-0031,homeless_shelter,homeless_shelter 0031,2015006,88,60,True,10.0,31.4,53.43627,22.69033,Confidential - synthetic health/care aggregate
FAC-0032,night_shelter,night_shelter 0032,3008003,12,11,True,16.7,6.6,52.06024,16.76441,Confidential - synthetic health/care aggregate
FAC-0033,ZOL,ZOL 0033,0404006,78,48,False,0,41.7,52.58443,18.30002,Confidential - synthetic health/care aggregate
FAC-0034,DPS,DPS 0034,1606003,81,51,True,13.8,73.9,50.79056,18.36657,Confidential - synthetic health/care aggregate
FAC-0035,homeless_shelter,homeless_shelter 0035,1010001,72,47,False,0,53.3,51.86035,20.57519,Confidential - synthetic health/care aggregate
FAC-0036,hospice,hospice 0036,3031002,93,85,False,0,65.6,52.10745,16.9298,Confidential - synthetic health/care aggregate
FAC-0037,DPS,DPS 0037,1219007,105,86,False,0,52.2,50.21124,20.06784,Confidential - synthetic health/care aggregate
FAC-0038,DPS,DPS 0038,3202002,110,102,False,0,52.1,53.51505,15.30509,Confidential - synthetic health/care aggregate
FAC-0039,DPS,DPS 0039,1204007,58,41,True,1.1,29.6,49.27169,19.73656,Confidential - synthetic health/care aggregate
FAC-0040,hospital,hospital 0040,0201007,173,154,True,12.7,65.2,51.25149,16.3503,Confidential - synthetic health/care aggregate
FAC-0041,hospice,hospice 0041,2435004,73,51,True,12.4,51.7,50.24363,18.29807,Confidential - synthetic health/care aggregate
FAC-0042,ZOL,ZOL 0042,2419003,93,61,True,8.6,102.2,50.40654,18.95234,Confidential - synthetic health/care aggregate
FAC-0043,DPS,DPS 0043,2419001,102,84,False,0,92.6,50.53646,18.56193,Confidential - synthetic health/care aggregate
FAC-0044,night_shelter,night_shelter 0044,1429001,91,74,False,0,45.9,52.78615,21.2461,Confidential - synthetic health/care aggregate
FAC-0045,DPS,DPS 0045,2211001,76,67,False,0,59.9,54.27288,18.7984,Confidential - synthetic health/care aggregate
FAC-0046,DPS,DPS 0046,1215006,100,85,True,3.5,62.8,49.88776,19.45365,Confidential - synthetic health/care aggregate
FAC-0047,DPS,DPS 0047,0223004,108,77,True,13.3,99.2,51.18619,16.86883,Confidential - synthetic health/care aggregate
FAC-0048,ZOL,ZOL 0048,1612007,64,57,False,0,64.2,50.96631,18.38833,Confidential - synthetic health/care aggregate
FAC-0049,hospice,hospice 0049,0801007,22,17,False,0,24.0,52.32374,16.31355,Confidential - synthetic health/care aggregate
FAC-0050,hospital,hospital 0050,1419001,175,148,True,16.5,70.7,52.79257,21.0793,Confidential - synthetic health/care aggregate
FAC-0051,homeless_shelter,homeless_shelter 0051,0624002,37,24,False,0,37.9,50.58062,22.40245,Confidential - synthetic health/care aggregate
FAC-0052,ZOL,ZOL 0052,1006006,70,47,False,0,40.6,51.53336,20.33308,Confidential - synthetic health/care aggregate
FAC-0053,night_shelter,night_shelter 0053,2807005,69,64,True,16.3,77.3,53.7579,21.1596,Confidential - synthetic health/care aggregate
FAC-0054,hospice,hospice 0054,1208005,42,34,True,7.7,16.8,50.85412,19.02825,Confidential - synthetic health/care aggregate
FAC-0055,ZOL,ZOL 0055,1817002,46,36,False,0,44.5,49.73214,22.14188,Confidential - synthetic health/care aggregate
FAC-0056,ZOL,ZOL 0056,1812004,111,80,False,0,96.5,50.15087,21.71301,Confidential - synthetic health/care aggregate
FAC-0057,hospital,hospital 0057,1438002,199,165,False,0,82.2,51.50406,22.10671,Confidential - synthetic health/care aggregate
FAC-0058,DPS,DPS 0058,1210003,77,66,False,0,54.0,51.28598,19.84573,Confidential - synthetic health/care aggregate
FAC-0059,DPS,DPS 0059,2218006,110,80,False,0,58.5,54.81436,19.01132,Confidential - synthetic health/care aggregate
FAC-0060,homeless_shelter,homeless_shelter 0060,0218003,137,91,False,0,127.8,51.40544,17.53555,Confidential - synthetic health/care aggregate
FAC-0061,DPS,DPS 0061,0407002,59,46,True,8.6,36.9,52.61414,18.74225,Confidential - synthetic health/care aggregate
FAC-0062,DPS,DPS 0062,2603004,125,106,False,0,79.4,50.76319,19.79718,Confidential - synthetic health/care aggregate
FAC-0063,DPS,DPS 0063,1429004,97,69,True,16.9,85.1,53.02614,21.46339,Confidential - synthetic health/care aggregate
FAC-0064,hospice,hospice 0064,0416005,18,11,False,0,14.3,53.22679,18.42938,Confidential - synthetic health/care aggregate
FAC-0065,DPS,DPS 0065,2820001,126,92,True,9.1,93.3,53.78346,20.41407,Confidential - synthetic health/care aggregate
FAC-0066,night_shelter,night_shelter 0066,1423003,82,76,False,0,45.2,52.51061,20.28887,Confidential - synthetic health/care aggregate
FAC-0067,homeless_shelter,homeless_shelter 0067,0201002,59,53,False,0,50.6,51.23661,16.2326,Confidential - synthetic health/care aggregate
FAC-0068,DPS,DPS 0068,3205005,87,61,True,3.6,85.2,53.43833,15.08201,Confidential - synthetic health/care aggregate
FAC-0069,hospice,hospice 0069,0621007,34,26,True,14.2,35.4,50.99707,22.64407,Confidential - synthetic health/care aggregate
FAC-0070,hospital,hospital 0070,2401006,184,174,True,12.8,91.4,51.22021,19.10598,Confidential - synthetic health/care aggregate
FAC-0071,DPS,DPS 0071,0419006,31,21,True,14.8,27.9,52.49332,17.82232,Confidential - synthetic health/care aggregate
FAC-0072,hospital,hospital 0072,2204005,192,125,True,12.1,205.9,54.19383,18.84571,Confidential - synthetic health/care aggregate
FAC-0073,ZOL,ZOL 0073,0607005,101,80,False,0,36.9,51.74158,22.45587,Confidential - synthetic health/care aggregate
FAC-0074,DPS,DPS 0074,3029006,112,90,False,0,53.1,52.73016,16.37191,Confidential - synthetic health/care aggregate
FAC-0075,homeless_shelter,homeless_shelter 0075,1008002,51,32,False,0,57.0,52.08198,19.45782,Confidential - synthetic health/care aggregate
FAC-0076,DPS,DPS 0076,2206006,95,66,True,9.2,79.5,54.69363,17.86693,Confidential - synthetic health/care aggregate
FAC-0077,hospital,hospital 0077,0813006,171,106,True,5.1,165.6,52.0972,15.70628,Confidential - synthetic health/care aggregate
FAC-0078,hospice,hospice 0078,1220007,30,20,False,0,18.0,50.23961,19.88343,Confidential - synthetic health/care aggregate
FAC-0079,hospice,hospice 0079,3017003,81,64,False,0,67.7,52.61886,17.31962,Confidential - synthetic health/care aggregate
FAC-0080,DPS,DPS 0080,0609005,95,63,False,0,105.3,51.21625,23.60753,Confidential - synthetic health/care aggregate
FAC-0081,DPS,DPS 0081,1407003,90,56,True,14.4,61.7,52.38206,20.80643,Confidential - synthetic health/care aggregate
FAC-0082,night_shelter,night_shelter 0082,1020002,30,27,False,0,29.3,51.78518,19.71273,Confidential - synthetic health/care aggregate
FAC-0083,ZOL,ZOL 0083,2405006,48,46,False,0,44.3,50.81745,18.94411,Confidential - synthetic health/care aggregate
FAC-0084,night_shelter,night_shelter 0084,0808001,41,26,True,4.4,14.6,52.07446,15.71376,Confidential - synthetic health/care aggregate
FAC-0085,DPS,DPS 0085,2207002,58,37,True,16.6,34.5,54.57045,19.82507,Confidential - synthetic health/care aggregate
FAC-0086,night_shelter,night_shelter 0086,2407004,76,71,False,0,62.8,50.73794,19.99876,Confidential - synthetic health/care aggregate
FAC-0087,DPS,DPS 0087,0201002,123,81,False,0,51.0,51.20788,16.23919,Confidential - synthetic health/care aggregate
FAC-0088,DPS,DPS 0088,1435004,66,54,False,0,53.2,52.06814,20.82726,Confidential - synthetic health/care aggregate
FAC-0089,ZOL,ZOL 0089,0420001,68,53,True,17.3,67.1,53.2846,18.04157,Confidential - synthetic health/care aggregate
FAC-0090,night_shelter,night_shelter 0090,0804006,60,44,False,0,41.8,51.77029,15.12403,Confidential - synthetic health/care aggregate
FAC-0091,DPS,DPS 0091,2217006,109,70,True,8.5,110.6,53.7888,17.83043,Confidential - synthetic health/care aggregate
FAC-0092,homeless_shelter,homeless_shelter 0092,0204003,58,37,False,0,37.1,51.15343,16.74164,Confidential - synthetic health/care aggregate
FAC-0093,hospital,hospital 0093,2404003,213,162,True,7.5,236.3,50.35316,19.15577,Confidential - synthetic health/care aggregate
FAC-0094,hospital,hospital 0094,2803002,176,115,True,6.4,136.6,53.22311,20.61579,Confidential - synthetic health/care aggregate
FAC-0095,homeless_shelter,homeless_shelter 0095,3217002,90,77,True,3.5,42.1,53.36384,14.59059,Confidential - synthetic health/care aggregate
FAC-0096,hospital,hospital 0096,1416001,158,102,True,13.8,143.7,52.3161,20.34128,Confidential - synthetic health/care aggregate
FAC-0097,DPS,DPS 0097,0419007,81,65,False,0,89.1,52.53569,18.45648,Confidential - synthetic health/care aggregate
FAC-0098,night_shelter,night_shelter 0098,0226001,71,49,False,0,70.7,51.3432,17.11513,Confidential - synthetic health/care aggregate
FAC-0099,hospital,hospital 0099,1402005,155,139,False,0,153.3,51.79271,20.43221,Confidential - synthetic health/care aggregate
FAC-0100,DPS,DPS 0100,2418006,130,111,False,0,135.4,49.71004,18.70254,Confidential - synthetic health/care aggregate
FAC-0101,night_shelter,night_shelter 0101,0408001,93,80,True,3.3,44.4,53.04799,18.51891,Confidential - synthetic health/care aggregate
FAC-0102,ZOL,ZOL 0102,1023007,40,29,False,0,40.2,52.61233,20.70703,Confidential - synthetic health/care aggregate
FAC-0103,homeless_shelter,homeless_shelter 0103,3008005,77,74,False,0,73.9,51.83681,16.82792,Confidential - synthetic health/care aggregate
FAC-0104,ZOL,ZOL 0104,0421005,99,70,False,0,37.4,52.72322,19.26242,Confidential - synthetic health/care aggregate
FAC-0105,homeless_shelter,homeless_shelter 0105,2435002,90,60,False,0,56.0,50.43025,18.20897,Confidential - synthetic health/care aggregate
FAC-0106,DPS,DPS 0106,2427002,106,68,False,0,98.7,49.64867,18.62072,Confidential - synthetic health/care aggregate
FAC-0107,homeless_shelter,homeless_shelter 0107,0420002,81,69,False,0,72.8,53.22299,17.89613,Confidential - synthetic health/care aggregate
FAC-0108,DPS,DPS 0108,3219001,78,60,True,2.2,67.5,54.04971,15.03947,Confidential - synthetic health/care aggregate
FAC-0109,night_shelter,night_shelter 0109,0601001,32,20,False,0,25.7,50.76257,22.1176,Confidential - synthetic health/care aggregate
FAC-0110,ZOL,ZOL 0110,1611005,104,94,False,0,74.7,51.12644,17.43768,Confidential - synthetic health/care aggregate
FAC-0111,homeless_shelter,homeless_shelter 0111,0203007,92,80,False,0,54.4,50.54485,16.16978,Confidential - synthetic health/care aggregate
FAC-0112,homeless_shelter,homeless_shelter 0112,2204005,134,90,False,0,114.8,54.13502,18.86429,Confidential - synthetic health/care aggregate
FAC-0113,DPS,DPS 0113,1422007,92,81,False,0,45.5,52.32318,20.66365,Confidential - synthetic health/care aggregate
FAC-0114,ZOL,ZOL 0114,2415005,73,71,True,11.8,79.6,49.75095,19.3987,Confidential - synthetic health/care aggregate
FAC-0115,hospice,hospice 0115,2013003,47,43,False,0,16.8,53.55951,22.82354,Confidential - synthetic health/care aggregate
FAC-0116,hospice,hospice 0116,0604003,28,24,False,0,10.3,50.94821,21.72186,Confidential - synthetic health/care aggregate
FAC-0117,hospital,hospital 0117,1412004,178,129,True,9.0,152.4,52.29402,20.91628,Confidential - synthetic health/care aggregate
FAC-0118,ZOL,ZOL 0118,2220005,17,14,True,3.8,15.9,53.40207,17.99453,Confidential - synthetic health/care aggregate
FAC-0119,ZOL,ZOL 0119,2820005,68,54,False,0,75.3,53.78974,20.26391,Confidential - synthetic health/care aggregate
FAC-0120,hospital,hospital 0120,0402005,183,170,True,6.4,125.1,52.88359,18.85418,Confidential - synthetic health/care aggregate
FAC-0121,hospital,hospital 0121,0407004,183,158,True,13.0,67.7,52.66761,18.59659,Confidential - synthetic health/care aggregate
FAC-0122,night_shelter,night_shelter 0122,2426006,44,28,False,0,24.3,49.89711,18.43858,Confidential - synthetic health/care aggregate
FAC-0123,night_shelter,night_shelter 0123,1822001,50,41,False,0,25.7,49.73628,21.6972,Confidential - synthetic health/care aggregate
FAC-0124,hospital,hospital 0124,1402007,201,159,True,7.2,207.0,51.8062,20.19622,Confidential - synthetic health/care aggregate
FAC-0125,DPS,DPS 0125,3207003,114,96,False,0,46.3,53.71489,14.95322,Confidential - synthetic health/care aggregate
FAC-0126,DPS,DPS 0126,1024003,96,63,False,0,41.4,51.36314,19.5208,Confidential - synthetic health/care aggregate
FAC-0127,DPS,DPS 0127,0422006,55,45,True,6.7,48.2,52.85027,18.84709,Confidential - synthetic health/care aggregate
FAC-0128,DPS,DPS 0128,1009002,75,58,False,0,53.1,51.76763,19.35876,Confidential - synthetic health/care aggregate
FAC-0129,night_shelter,night_shelter 0129,0401004,72,67,False,0,75.8,52.3684,18.27393,Confidential - synthetic health/care aggregate
FAC-0130,night_shelter,night_shelter 0130,1808001,50,35,True,15.2,33.8,50.40279,22.66502,Confidential - synthetic health/care aggregate
FAC-0131,night_shelter,night_shelter 0131,2001003,27,17,True,9.9,25.0,53.06687,22.04073,Confidential - synthetic health/care aggregate
FAC-0132,homeless_shelter,homeless_shelter 0132,2004004,87,60,False,0,96.2,52.68334,23.31456,Confidential - synthetic health/care aggregate
FAC-0133,homeless_shelter,homeless_shelter 0133,2601004,65,54,False,0,54.9,50.80237,20.55359,Confidential - synthetic health/care aggregate
FAC-0134,hospital,hospital 0134,2402002,243,236,True,9.7,101.8,50.04333,19.498,Confidential - synthetic health/care aggregate
FAC-0135,night_shelter,night_shelter 0135,2815006,22,16,False,0,14.1,53.67794,20.19032,Confidential - synthetic health/care aggregate
FAC-0136,ZOL,ZOL 0136,2208001,110,84,False,0,48.3,54.40043,19.50815,Confidential - synthetic health/care aggregate
FAC-0137,homeless_shelter,homeless_shelter 0137,1018003,56,46,False,0,28.0,51.87328,20.32886,Confidential - synthetic health/care aggregate
FAC-0138,homeless_shelter,homeless_shelter 0138,1607001,94,65,False,0,91.1,50.70223,18.6352,Confidential - synthetic health/care aggregate
FAC-0139,ZOL,ZOL 0139,1604006,101,69,False,0,67.9,50.75315,18.84728,Confidential - synthetic health/care aggregate
FAC-0140,DPS,DPS 0140,2425001,69,48,True,12.0,75.6,50.1127,18.95783,Confidential - synthetic health/care aggregate
FAC-0141,hospice,hospice 0141,1015007,21,16,False,0,15.1,52.12659,18.86933,Confidential - synthetic health/care aggregate
FAC-0142,homeless_shelter,homeless_shelter 0142,0220002,54,45,False,0,25.6,50.58034,17.11383,Confidential - synthetic health/care aggregate
FAC-0143,homeless_shelter,homeless_shelter 0143,3015005,44,40,False,0,38.4,53.21291,16.86903,Confidential - synthetic health/care aggregate
FAC-0144,hospice,hospice 0144,3204001,14,10,False,0,12.2,53.1214,15.58542,Confidential - synthetic health/care aggregate
FAC-0145,hospital,hospital 0145,1441006,176,125,True,15.7,69.3,52.71969,20.55233,Confidential - synthetic health/care aggregate
FAC-0146,night_shelter,night_shelter 0146,0412002,71,60,False,0,33.9,52.93223,18.16097,Confidential - synthetic health/care aggregate
FAC-0147,ZOL,ZOL 0147,1601003,32,27,True,4.4,19.1,50.22803,17.86071,Confidential - synthetic health/care aggregate
FAC-0148,hospice,hospice 0148,1823005,36,28,True,14.1,14.6,50.17559,22.65757,Confidential - synthetic health/care aggregate
FAC-0149,DPS,DPS 0149,1611003,107,103,True,11.7,38.8,51.27305,17.47769,Confidential - synthetic health/care aggregate
FAC-0150,ZOL,ZOL 0150,3213004,34,25,True,4.0,16.7,52.90154,13.71574,Confidential - synthetic health/care aggregate
FAC-0151,hospital,hospital 0151,3216006,174,109,True,10.5,91.8,53.21477,14.03673,Confidential - synthetic health/care aggregate
FAC-0152,hospital,hospital 0152,3030004,191,129,True,6.3,170.7,51.82583,17.06778,Confidential - synthetic health/care aggregate
FAC-0153,ZOL,ZOL 0153,0419006,92,84,False,0,41.1,52.52713,17.78351,Confidential - synthetic health/care aggregate
FAC-0154,DPS,DPS 0154,2821003,82,57,True,13.6,68.0,54.04385,19.56837,Confidential - synthetic health/care aggregate
FAC-0155,ZOL,ZOL 0155,1813002,126,100,True,1.4,95.7,50.08092,22.21447,Confidential - synthetic health/care aggregate
FAC-0156,homeless_shelter,homeless_shelter 0156,1218006,57,45,False,0,59.7,50.24507,20.37612,Confidential - synthetic health/care aggregate
FAC-0157,hospice,hospice 0157,2219001,25,20,False,0,20.1,54.09812,17.62969,Confidential - synthetic health/care aggregate
FAC-0158,hospital,hospital 0158,2430006,207,135,True,1.8,174.6,50.70456,19.49977,Confidential - synthetic health/care aggregate
FAC-0159,night_shelter,night_shelter 0159,3203006,32,29,False,0,22.7,52.85455,13.67678,Confidential - synthetic health/care aggregate
FAC-0160,DPS,DPS 0160,2434002,98,84,True,17.3,64.8,50.34905,18.78949,Confidential - synthetic health/care aggregate
FAC-0161,DPS,DPS 0161,0207001,87,68,True,12.0,51.3,51.11547,17.62101,Confidential - synthetic health/care aggregate
FAC-0162,hospital,hospital 0162,0224007,190,175,True,12.7,217.0,51.49988,17.15183,Confidential - synthetic health/care aggregate
FAC-0163,DPS,DPS 0163,1004002,88,67,True,6.2,85.3,51.21135,20.39592,Confidential - synthetic health/care aggregate
FAC-0164,DPS,DPS 0164,0214007,69,45,True,6.3,57.4,51.30483,17.40122,Confidential - synthetic health/care aggregate
FAC-0165,ZOL,ZOL 0165,0222003,75,71,True,4.8,82.2,50.80703,16.94773,Confidential - synthetic health/care aggregate
FAC-0166,night_shelter,night_shelter 0166,2605004,87,66,False,0,37.3,50.56225,20.14757,Confidential - synthetic health/care aggregate
FAC-0167,homeless_shelter,homeless_shelter 0167,1603005,73,48,False,0,40.3,51.15416,17.42397,Confidential - synthetic health/care aggregate
FAC-0168,homeless_shelter,homeless_shelter 0168,2013005,47,36,True,9.6,46.4,53.3019,22.44113,Confidential - synthetic health/care aggregate
FAC-0169,hospice,hospice 0169,1601006,54,51,False,0,38.0,50.295,18.06327,Confidential - synthetic health/care aggregate
FAC-0170,homeless_shelter,homeless_shelter 0170,1413006,76,61,False,0,82.8,51.39662,21.49636,Confidential - synthetic health/care aggregate
FAC-0171,hospice,hospice 0171,2406004,43,35,False,0,28.7,50.62629,18.24501,Confidential - synthetic health/care aggregate
FAC-0172,hospice,hospice 0172,0230007,12,8,True,15.5,11.9,50.82802,17.46784,Confidential - synthetic health/care aggregate
FAC-0173,homeless_shelter,homeless_shelter 0173,1801006,106,87,False,0,95.4,49.31699,21.70444,Confidential - synthetic health/care aggregate
FAC-0174,ZOL,ZOL 0174,2008002,62,59,False,0,53.8,53.40888,23.1609,Confidential - synthetic health/care aggregate
FAC-0175,ZOL,ZOL 0175,1009005,62,56,False,0,50.1,51.82575,19.5265,Confidential - synthetic health/care aggregate
FAC-0176,night_shelter,night_shelter 0176,1022001,49,42,False,0,43.7,51.64887,19.68193,Confidential - synthetic health/care aggregate
FAC-0177,night_shelter,night_shelter 0177,1605001,57,39,False,0,44.6,50.54376,17.67774,Confidential - synthetic health/care aggregate
FAC-0178,DPS,DPS 0178,0622001,78,66,False,0,53.0,51.59236,23.06915,Confidential - synthetic health/care aggregate
FAC-0179,DPS,DPS 0179,2613002,132,113,True,4.8,143.7,51.43698,20.38204,Confidential - synthetic health/care aggregate
FAC-0180,homeless_shelter,homeless_shelter 0180,1801005,38,31,True,7.5,15.0,49.50636,21.36938,Confidential - synthetic health/care aggregate
FAC-0181,homeless_shelter,homeless_shelter 0181,1405003,137,95,False,0,77.8,52.62221,21.22652,Confidential - synthetic health/care aggregate
FAC-0182,DPS,DPS 0182,2015006,94,73,True,1.4,46.0,53.38765,22.73991,Confidential - synthetic health/care aggregate
FAC-0183,hospice,hospice 0183,2810003,54,45,False,0,21.6,53.92931,19.74069,Confidential - synthetic health/care aggregate
FAC-0184,homeless_shelter,homeless_shelter 0184,2218003,73,60,False,0,50.4,54.86419,19.20516,Confidential - synthetic health/care aggregate
FAC-0185,DPS,DPS 0185,0224005,98,73,True,11.2,71.8,51.41952,16.99637,Confidential - synthetic health/care aggregate
FAC-0186,night_shelter,night_shelter 0186,2405002,47,37,False,0,39.7,50.59486,19.05817,Confidential - synthetic health/care aggregate
FAC-0187,night_shelter,night_shelter 0187,2418003,69,61,False,0,24.7,49.65035,18.22023,Confidential - synthetic health/care aggregate
FAC-0188,homeless_shelter,homeless_shelter 0188,2815003,95,67,False,0,73.2,53.75369,20.19563,Confidential - synthetic health/care aggregate
FAC-0189,DPS,DPS 0189,0221005,98,87,True,13.0,46.1,51.40226,17.30325,Confidential - synthetic health/care aggregate
FAC-0190,ZOL,ZOL 0190,0402003,56,42,True,2.6,64.1,52.87404,19.0596,Confidential - synthetic health/care aggregate
FAC-0191,DPS,DPS 0191,1420005,137,132,False,0,121.1,52.82514,21.16324,Confidential - synthetic health/care aggregate
FAC-0192,hospital,hospital 0192,1427005,174,167,True,6.7,77.2,51.37358,20.9509,Confidential - synthetic health/care aggregate
FAC-0193,DPS,DPS 0193,2005002,140,121,True,10.3,98.2,53.10014,23.30912,Confidential - synthetic health/care aggregate
FAC-0194,ZOL,ZOL 0194,1021006,45,37,False,0,47.3,51.90875,18.77745,Confidential - synthetic health/care aggregate
FAC-0195,hospital,hospital 0195,2422003,175,118,True,11.4,110.9,50.57725,19.67789,Confidential - synthetic health/care aggregate
FAC-0196,hospice,hospice 0196,2421006,12,7,False,0,5.5,50.39358,18.39171,Confidential - synthetic health/care aggregate
FAC-0197,hospice,hospice 0197,0414007,49,40,False,0,41.9,52.76337,18.57553,Confidential - synthetic health/care aggregate
FAC-0198,night_shelter,night_shelter 0198,2409004,137,122,False,0,74.4,50.97388,18.67663,Confidential - synthetic health/care aggregate
FAC-0199,night_shelter,night_shelter 0199,2406003,68,65,True,7.6,45.8,50.57523,18.34817,Confidential - synthetic health/care aggregate
FAC-0200,homeless_shelter,homeless_shelter 0200,0609001,48,35,True,9.3,46.9,51.09883,23.25656,Confidential - synthetic health/care aggregate
FAC-0201,night_shelter,night_shelter 0201,3203003,17,15,False,0,11.2,52.33141,13.6275,Confidential - synthetic health/care aggregate
FAC-0202,DPS,DPS 0202,1609004,115,93,False,0,52.1,50.8949,19.24746,Confidential - synthetic health/care aggregate
FAC-0203,hospital,hospital 0203,2603001,193,157,True,12.2,206.5,51.05426,20.2741,Confidential - synthetic health/care aggregate
FAC-0204,hospice,hospice 0204,2415002,36,29,False,0,23.0,49.45378,19.64221,Confidential - synthetic health/care aggregate
FAC-0205,hospital,hospital 0205,0610002,169,142,True,9.6,99.6,51.75482,22.77372,Confidential - synthetic health/care aggregate
FAC-0206,ZOL,ZOL 0206,0417006,86,64,False,0,72.9,52.80686,18.59705,Confidential - synthetic health/care aggregate
FAC-0207,hospital,hospital 0207,2602003,182,125,False,0,156.4,49.97701,20.03842,Confidential - synthetic health/care aggregate
FAC-0208,DPS,DPS 0208,1006007,162,104,False,0,60.3,51.73326,20.35926,Confidential - synthetic health/care aggregate
FAC-0209,homeless_shelter,homeless_shelter 0209,3011001,55,51,False,0,60.2,52.28383,15.46771,Confidential - synthetic health/care aggregate
FAC-0210,night_shelter,night_shelter 0210,2434003,30,26,False,0,32.3,50.43613,18.51565,Confidential - synthetic health/care aggregate
FAC-0211,homeless_shelter,homeless_shelter 0211,0211004,44,41,False,0,46.6,50.92305,16.82711,Confidential - synthetic health/care aggregate
FAC-0212,hospital,hospital 0212,2612005,181,171,True,10.4,102.3,51.1084,20.0186,Confidential - synthetic health/care aggregate
FAC-0213,DPS,DPS 0213,1007005,68,51,False,0,58.9,51.39496,18.94564,Confidential - synthetic health/care aggregate
FAC-0214,hospital,hospital 0214,0223007,174,142,False,0,182.6,51.29951,16.90371,Confidential - synthetic health/care aggregate
FAC-0215,ZOL,ZOL 0215,2411003,26,20,False,0,14.1,50.69222,19.22191,Confidential - synthetic health/care aggregate
FAC-0216,homeless_shelter,homeless_shelter 0216,1816004,63,57,False,0,68.3,49.70728,22.02464,Confidential - synthetic health/care aggregate
