gmina_code,powiat_code,voivodeship_code,gmina_name,gmina_type,population,population_density,lat,lon,rurality_index
0204003,0204,02,gmina dolnośląskie-centralny-04-03,miejska,47255,637.1,51.18201,16.72859,0.08
0204004,0204,02,gmina dolnośląskie-centralny-04-04,wiejska,9983,28.6,50.91614,16.84605,1
0204005,0204,02,gmina dolnośląskie-centralny-04-05,miejsko-wiejska,4407,59.9,51.14157,16.74119,0.45
0204006,0204,02,gmina dolnośląskie-centralny-04-06,miejska,17501,336.4,50.98752,16.65282,0.08
0204007,0204,02,gmina dolnośląskie-centralny-04-07,miejska,18720,315.8,51.18204,16.54465,0.08
0205001,0205,02,gmina dolnośląskie-miejski-05-01,wiejska,12696,37.7,50.86659,16.07828,1
0205002,0205,02,gmina dolnośląskie-miejski-05-02,wiejska,8041,40.8,51.08121,16.42579,1
0205003,0205,02,gmina dolnośląskie-miejski-05-03,wiejska,9319,20.0,50.96029,16.21988,1
0205004,0205,02,gmina dolnośląskie-miejski-05-04,wiejska,4113,30.3,51.24301,16.35319,1
0205005,0205,02,gmina dolnośląskie-miejski-05-05,wiejska,1800,12,50.99366,16.33044,1
0205006,0205,02,gmina dolnośląskie-miejski-05-06,wiejska,6290,34.8,51.05621,16.61971,1
0205007,0205,02,gmina dolnośląskie-miejski-05-07,miejsko-wiejska,5328,23.6,51.15109,16.15441,0.45
0206001,0206,02,gmina dolnośląskie-północny-06-01,wiejska,10317,27.2,51.41648,17.61368,1
0206002,0206,02,gmina dolnośląskie-północny-06-02,wiejska,5509,42.7,51.40712,17.09793,1
0206003,0206,02,gmina dolnośląskie-północny-06-03,wiejska,8462,20.5,51.34396,17.39926,1
0206004,0206,02,gmina dolnośląskie-północny-06-04,wiejska,11435,64.4,51.55266,17.53614,1
0206005,0206,02,gmina dolnośląskie-północny-06-05,wiejska,19742,68.2,51.59778,16.98925,1
0206006,0206,02,gmina dolnośląskie-północny-06-06,wiejska,6653,14.8,51.44848,17.22493,1
0206007,0206,02,gmina dolnośląskie-północny-06-07,miejska,24269,274.2,51.4138,17.40227,0.08
0207001,0207,02,gmina dolnośląskie-południowy-07-01,miejsko-wiejska,7016,86.1,51.12581,17.60068,0.45
0207002,0207,02,gmina dolnośląskie-południowy-07-02,miejsko-wiejska,16688,60.1,51.16224,17.6261,0.45
0207003,0207,02,gmina dolnośląskie-południowy-07-03,miejska,13180,225.3,51.23792,17.67585,0.08
0207004,0207,02,gmina dolnośląskie-południowy-07-04,miejsko-wiejska,9239,72.9,51.18398,17.73604,0.45
0207005,0207,02,gmina dolnośląskie-południowy-07-05,miejska,32189,343.4,51.16539,16.99247,0.08
0207006,0207,02,gmina dolnośląskie-południowy-07-06,miejsko-wiejska,10274,45.2,50.91827,17.6013,0.45
0207007,0207,02,gmina dolnośląskie-południowy-07-07,wiejska,10895,50.6,51.03964,17.76668,1
0208001,0208,02,gmina dolnośląskie-wschodni-08-01,miejsko-wiejska,6002,30.2,51.27742,16.50084,0.45
0208002,0208,02,gmina dolnośląskie-wschodni-08-02,miejsko-wiejska,22080,81.6,51.15737,16.40764,0.45
0208003,0208,02,gmina dolnośląskie-wschodni-08-03,miejsko-wiejska,7926,27.6,51.24695,16.2938,0.45
0208004,0208,02,gmina dolnośląskie-wschodni-08-04,miejsko-wiejska,14372,177.8,51.24371,16.40828,0.45
0208005,0208,02,gmina dolnośląskie-wschodni-08-05,wiejska,9305,21.0,51.15768,16.2399,1
0208006,0208,02,gmina dolnośląskie-wschodni-08-06,wiejska,16073,47.3,51.10763,16.50728,1
0208007,0208,02,gmina dolnośląskie-wschodni-08-07,wiejska,10799,50.0,51.30519,16.55979,1
0209001,0209,02,gmina dolnośląskie-zachodni-09-01,miejska,33932,1075.1,51.07162,16.4322,0.08
0209002,0209,02,gmina dolnośląskie-zachodni-09-02,wiejska,6716,19.8,51.3446,16.63888,1
0209003,0209,02,gmina dolnośląskie-zachodni-09-03,miejska,81839,682.7,51.22696,16.4361,0.08
0209004,0209,02,gmina dolnośląskie-zachodni-09-04,miejsko-wiejska,13035,76.0,51.25582,16.52089,0.45
0209005,0209,02,gmina dolnośląskie-zachodni-09-05,wiejska,7810,36.2,51.19039,16.48671,1
0209006,0209,02,gmina dolnośląskie-zachodni-09-06,wiejska,8118,69.0,51.32054,16.30514,1
0209007,0209,02,gmina dolnośląskie-zachodni-09-07,wiejska,12950,144.6,51.09195,16.63222,1
0210001,0210,02,gmina dolnośląskie-centralny-10-01,wiejska,5940,14.2,51.3084,16.68875,1
0210002,0210,02,gmina dolnośląskie-centralny-10-02,wiejska,8369,44.2,51.39339,16.98409,1
0210003,0210,02,gmina dolnośląskie-centralny-10-03,wiejska,10003,22.9,51.48299,16.98344,1
0210004,0210,02,gmina dolnośląskie-centralny-10-04,miejsko-wiejska,2193,12,51.17218,16.87903,0.45
0210005,0210,02,gmina dolnośląskie-centralny-10-05,miejska,26826,400.4,51.57633,16.90904,0.08
0210006,0210,02,gmina dolnośląskie-centralny-10-06,miejsko-wiejska,5941,107.0,51.37046,16.87229,0.45
0210007,0210,02,gmina dolnośląskie-centralny-10-07,miejsko-wiejska,14934,95.7,51.53049,16.99447,0.45
0211001,0211,02,gmina dolnośląskie-miejski-11-01,miejsko-wiejska,4482,24.9,51.11358,16.54384,0.45
0211002,0211,02,gmina dolnośląskie-miejski-11-02,wiejska,5051,28.5,50.96523,16.62316,1
0211003,0211,02,gmina dolnośląskie-miejski-11-03,wiejska,4480,12,50.88074,16.48876,1
0211004,0211,02,gmina dolnośląskie-miejski-11-04,miejsko-wiejska,8673,52.6,50.86447,16.79045,0.45
0211005,0211,02,gmina dolnośląskie-miejski-11-05,wiejska,8891,45.6,51.04395,16.60554,1
0211006,0211,02,gmina dolnośląskie-miejski-11-06,miejsko-wiejska,7366,72.0,50.97497,16.72929,0.45
0211007,0211,02,gmina dolnośląskie-miejski-11-07,wiejska,5434,64.1,50.90111,16.60739,1
0212001,0212,02,gmina dolnośląskie-północny-12-01,wiejska,19850,146.1,51.54094,16.61438,1
0212002,0212,02,gmina dolnośląskie-północny-12-02,miejsko-wiejska,7029,24.4,51.45502,16.85583,0.45
0212003,0212,02,gmina dolnośląskie-północny-12-03,miejsko-wiejska,18357,92.7,51.49418,17.07336,0.45
0212004,0212,02,gmina dolnośląskie-północny-12-04,wiejska,9425,69.4,51.61648,16.82615,1
0212005,0212,02,gmina dolnośląskie-północny-12-05,miejsko-wiejska,8677,41.6,51.3968,16.53716,0.45
0212006,0212,02,gmina dolnośląskie-północny-12-06,wiejska,12149,49.1,51.49304,16.81654,1
0212007,0212,02,gmina dolnośląskie-północny-12-07,wiejska,13264,39.4,51.48584,17.03574,1
0213001,0213,02,gmina dolnośląskie-południowy-13-01,miejsko-wiejska,21570,96.3,51.05408,16.92988,0.45
0213002,0213,02,gmina dolnośląskie-południowy-13-02,miejsko-wiejska,16328,107.8,51.00904,16.79987,0.45
0213003,0213,02,gmina dolnośląskie-południowy-13-03,wiejska,4103,12,50.77454,16.5633,1
0213004,0213,02,gmina dolnośląskie-południowy-13-04,wiejska,18182,87.6,51.11573,16.65743,1
0213005,0213,02,gmina dolnośląskie-południowy-13-05,miejska,13168,94.5,50.94948,16.72055,0.08
0213006,0213,02,gmina dolnośląskie-południowy-13-06,miejska,54332,1184.0,50.97948,16.52838,0.08
0213007,0213,02,gmina dolnośląskie-południowy-13-07,miejska,35567,1340.3,50.84726,16.66388,0.08
0214001,0214,02,gmina dolnośląskie-wschodni-14-01,wiejska,7228,21.5,51.51484,17.08327,1
0214002,0214,02,gmina dolnośląskie-wschodni-14-02,wiejska,6965,16.7,51.19498,17.05364,1
0214003,0214,02,gmina dolnośląskie-wschodni-14-03,miejsko-wiejska,5296,73.4,51.28249,17.33291,0.45
0214004,0214,02,gmina dolnośląskie-wschodni-14-04,miejska,27952,229.8,51.29162,17.10167,0.08
0214005,0214,02,gmina dolnośląskie-wschodni-14-05,miejsko-wiejska,23521,170.6,51.06209,17.00322,0.45
0214006,0214,02,gmina dolnośląskie-wschodni-14-06,wiejska,8176,63.7,51.35905,17.03183,1
0214007,0214,02,gmina dolnośląskie-wschodni-14-07,wiejska,15241,37.8,51.32437,17.27427,1
0215001,0215,02,gmina dolnośląskie-zachodni-15-01,wiejska,9595,28.4,51.34058,17.15686,1
0215002,0215,02,gmina dolnośląskie-zachodni-15-02,wiejska,8109,17.5,50.96274,16.88177,1
0215003,0215,02,gmina dolnośląskie-zachodni-15-03,miejska,12887,117.7,51.22629,16.86563,0.08
0215004,0215,02,gmina dolnośląskie-zachodni-15-04,wiejska,4399,14.8,51.55173,17.46126,1
0215005,0215,02,gmina dolnośląskie-zachodni-15-05,wiejska,6277,62.1,51.11894,16.79349,1
0215006,0215,02,gmina dolnośląskie-zachodni-15-06,wiejska,7536,30.7,51.24666,16.84891,1
0215007,0215,02,gmina dolnośląskie-zachodni-15-07,miejsko-wiejska,5052,35.6,51.30079,17.21209,0.45
0216001,0216,02,gmina dolnośląskie-centralny-16-01,wiejska,3573,12,51.8178,16.79038,1
0216002,0216,02,gmina dolnośląskie-centralny-16-02,miejska,26726,501.3,51.87589,16.74224,0.08
0216003,0216,02,gmina dolnośląskie-centralny-16-03,miejsko-wiejska,11849,45.1,52.09764,16.85782,0.45
0216004,0216,02,gmina dolnośląskie-centralny-16-04,wiejska,6911,65.8,52.14589,17.02936,1
0216005,0216,02,gmina dolnośląskie-centralny-16-05,wiejska,3784,12,52.09202,16.48598,1
0216006,0216,02,gmina dolnośląskie-centralny-16-06,wiejska,3568,14.4,51.96426,16.65804,1
0216007,0216,02,gmina dolnośląskie-centralny-16-07,miejsko-wiejska,5413,42.8,51.82835,16.51816,0.45
0217001,0217,02,gmina dolnośląskie-miejski-17-01,wiejska,33343,179.9,51.01176,16.36439,1
0217002,0217,02,gmina dolnośląskie-miejski-17-02,miejska,23973,166.4,50.58714,16.20438,0.08
0217003,0217,02,gmina dolnośląskie-miejski-17-03,wiejska,2637,12,50.76191,16.69091,1
0217004,0217,02,gmina dolnośląskie-miejski-17-04,wiejska,7882,19.6,50.95467,16.59328,1
0217005,0217,02,gmina dolnośląskie-miejski-17-05,miejsko-wiejska,4635,31.8,50.9928,16.34862,0.45
0217006,0217,02,gmina dolnośląskie-miejski-17-06,wiejska,11463,28.9,50.8394,16.25032,1
0217007,0217,02,gmina dolnośląskie-miejski-17-07,wiejska,3888,14.1,50.63117,16.46799,1
0218001,0218,02,gmina dolnośląskie-północny-18-01,miejska,32949,328.1,51.33726,17.62363,0.08
0218002,0218,02,gmina dolnośląskie-północny-18-02,wiejska,11887,97.3,51.48731,17.3407,1
0218003,0218,02,gmina dolnośląskie-północny-18-03,wiejska,23013,95.3,51.45945,17.53317,1
0218004,0218,02,gmina dolnośląskie-północny-18-04,wiejska,6275,14.1,51.31348,17.24024,1
0218005,0218,02,gmina dolnośląskie-północny-18-05,wiejska,14760,48.6,51.23844,17.57528,1
0218006,0218,02,gmina dolnośląskie-północny-18-06,miejska,17158,256.0,51.42701,17.51399,0.08
0218007,0218,02,gmina dolnośląskie-północny-18-07,miejsko-wiejska,23827,265.7,51.45399,17.53846,0.45
0219001,0219,02,gmina dolnośląskie-południowy-19-01,miejska,44063,451.3,51.05075,16.41712,0.08
0219002,0219,02,gmina dolnośląskie-południowy-19-02,wiejska,4825,12,51.13473,16.54475,1
0219003,0219,02,gmina dolnośląskie-południowy-19-03,wiejska,21013,46.5,51.01171,16.50506,1
0219004,0219,02,gmina dolnośląskie-południowy-19-04,wiejska,5504,65.8,50.98473,16.72952,1
0219005,0219,02,gmina dolnośląskie-południowy-19-05,miejsko-wiejska,10152,180.2,51.19993,16.0472,0.45
0219006,0219,02,gmina dolnośląskie-południowy-19-06,miejska,7717,90.4,51.06396,16.48299,0.08
0219007,0219,02,gmina dolnośląskie-południowy-19-07,wiejska,3560,12,51.29712,16.58627,1
0220001,0220,02,gmina dolnośląskie-wschodni-20-01,wiejska,9002,62.3,50.73935,16.87457,1
0220002,0220,02,gmina dolnośląskie-wschodni-20-02,miejska,31562,212.4,50.59763,17.13877,0.08
0220003,0220,02,gmina dolnośląskie-wschodni-20-03,wiejska,3953,12.6,50.79312,16.88264,1
0220004,0220,02,gmina dolnośląskie-wschodni-20-04,miejska,39373,450.5,50.75657,16.8113,0.08
0220005,0220,02,gmina dolnośląskie-wschodni-20-05,wiejska,4368,17.6,50.45334,17.19528,1
0220006,0220,02,gmina dolnośląskie-wschodni-20-06,wiejska,3898,12,50.70569,17.33054,1
0220007,0220,02,gmina dolnośląskie-wschodni-20-07,miejska,38199,278.7,50.76235,17.32552,0.08
0221001,0221,02,gmina dolnośląskie-zachodni-21-01,wiejska,3226,12,51.29118,17.09779,1
0221002,0221,02,gmina dolnośląskie-zachodni-21-02,wiejska,7992,24.7,51.40989,17.37287,1
0221003,0221,02,gmina dolnośląskie-zachodni-21-03,miejsko-wiejska,9716,96.0,51.36758,17.3323,0.45
0221004,0221,02,gmina dolnośląskie-zachodni-21-04,wiejska,2529,21.1,51.48763,17.24735,1
0221005,0221,02,gmina dolnośląskie-zachodni-21-05,miejsko-wiejska,10461,37.0,51.43867,17.31715,0.45
0221006,0221,02,gmina dolnośląskie-zachodni-21-06,miejsko-wiejska,43506,215.9,51.28669,17.27573,0.45
0221007,0221,02,gmina dolnośląskie-zachodni-21-07,wiejska,10637,36.6,51.25855,17.6145,1
0222001,0222,02,gmina dolnośląskie-centralny-22-01,wiejska,9923,27.7,50.95702,17.00804,1
0222002,0222,02,gmina dolnośląskie-centralny-22-02,miejsko-wiejska,6927,25.3,50.69208,17.09116,0.45
0222003,0222,02,gmina dolnośląskie-centralny-22-03,miejsko-wiejska,26530,304.2,50.80196,16.93641,0.45
0222004,0222,02,gmina dolnośląskie-centralny-22-04,wiejska,6282,26.5,50.80177,17.19263,1
0222005,0222,02,gmina dolnośląskie-centralny-22-05,wiejska,2766,13.6,50.80155,17.09554,1
0222006,0222,02,gmina dolnośląskie-centralny-22-06,miejsko-wiejska,4028,55.5,50.99659,17.20042,0.45
0222007,0222,02,gmina dolnośląskie-centralny-22-07,wiejska,3167,12,50.89569,16.73874,1
0223001,0223,02,gmina dolnośląskie-miejski-23-01,miejska,26500,208.5,51.21107,17.05219,0.08
0223002,0223,02,gmina dolnośląskie-miejski-23-02,miejsko-wiejska,9706,34.4,51.29146,16.50421,0.45
0223003,0223,02,gmina dolnośląskie-miejski-23-03,miejsko-wiejska,6655,46.8,50.93409,17.03723,0.45
0223004,0223,02,gmina dolnośląskie-miejski-23-04,wiejska,17574,156.8,51.18471,16.85543,1
0223005,0223,02,gmina dolnośląskie-miejski-23-05,miejsko-wiejska,5342,27.2,51.07923,17.10348,0.45
0223006,0223,02,gmina dolnośląskie-miejski-23-06,miejsko-wiejska,2539,12,51.21666,16.98743,0.45
0223007,0223,02,gmina dolnośląskie-miejski-23-07,miejska,38439,256.2,51.28624,16.96196,0.08
0224001,0224,02,gmina dolnośląskie-północny-24-01,wiejska,7140,67.0,51.36146,17.14802,1
0224002,0224,02,gmina dolnośląskie-północny-24-02,miejsko-wiejska,9496,53.2,51.43008,17.11536,0.45
0224003,0224,02,gmina dolnośląskie-północny-24-03,wiejska,6249,19.3,51.24299,17.24995,1
0224004,0224,02,gmina dolnośląskie-północny-24-04,wiejska,18922,161.4,51.69865,17.20217,1
0224005,0224,02,gmina dolnośląskie-północny-24-05,miejska,49124,661.0,51.40507,16.98529,0.08
0224006,0224,02,gmina dolnośląskie-północny-24-06,miejsko-wiejska,10322,81.5,51.4529,16.85892,0.45
0224007,0224,02,gmina dolnośląskie-północny-24-07,wiejska,13509,78.9,51.5097,17.15717,1
0225001,0225,02,gmina dolnośląskie-południowy-25-01,miejsko-wiejska,6850,72.2,51.25381,16.64279,0.45
0225002,0225,02,gmina dolnośląskie-południowy-25-02,miejska,31160,343.4,51.30519,16.40516,0.08
0225003,0225,02,gmina dolnośląskie-południowy-25-03,wiejska,3739,13.9,51.27823,17.00208,1
0225004,0225,02,gmina dolnośląskie-południowy-25-04,wiejska,3421,20.0,51.34071,16.98938,1
0225005,0225,02,gmina dolnośląskie-południowy-25-05,wiejska,34268,129.2,51.3212,16.83039,1
0225006,0225,02,gmina dolnośląskie-południowy-25-06,wiejska,6622,16.4,51.34536,16.86603,1
0225007,0225,02,gmina dolnośląskie-południowy-25-07,wiejska,20123,60.8,51.63394,16.9535,1
0226001,0226,02,gmina dolnośląskie-wschodni-26-01,miejsko-wiejska,24511,117.7,51.32543,17.11678,0.45
0226002,0226,02,gmina dolnośląskie-wschodni-26-02,miejska,15845,197.5,51.3285,17.25446,0.08
0226003,0226,02,gmina dolnośląskie-wschodni-26-03,miejsko-wiejska,3649,22.8,51.03861,16.92904,0.45
0226004,0226,02,gmina dolnośląskie-wschodni-26-04,miejsko-wiejska,8672,89.0,51.20826,16.84034,0.45
0226005,0226,02,gmina dolnośląskie-wschodni-26-05,wiejska,7199,38.2,51.46139,16.98493,1
0226006,0226,02,gmina dolnośląskie-wschodni-26-06,wiejska,6359,40.0,51.26387,17.34861,1
0226007,0226,02,gmina dolnośląskie-wschodni-26-07,wiejska,8699,22.9,51.30318,17.1015,1
0227001,0227,02,gmina dolnośląskie-zachodni-27-01,wiejska,13966,52.0,50.58568,16.75635,1
0227002,0227,02,gmina dolnośląskie-zachodni-27-02,miejska,18359,431.3,50.47158,16.53127,0.08
0227003,0227,02,gmina dolnośląskie-zachodni-27-03,miejsko-wiejska,6507,39.5,50.58502,16.51716,0.45
0227004,0227,02,gmina dolnośląskie-zachodni-27-04,miejsko-wiejska,12599,80.2,50.47832,16.61175,0.45
0227005,0227,02,gmina dolnośląskie-zachodni-27-05,wiejska,18427,122.2,50.52087,16.81395,1
0227006,0227,02,gmina dolnośląskie-zachodni-27-06,miejsko-wiejska,2194,12,50.78598,16.748,0.45
0227007,0227,02,gmina dolnośląskie-zachodni-27-07,miejsko-wiejska,8451,54.6,50.65375,16.36464,0.45
0228001,0228,02,gmina dolnośląskie-centralny-28-01,wiejska,2855,12,50.83547,16.78478,1
0228002,0228,02,gmina dolnośląskie-centralny-28-02,miejsko-wiejska,6664,25.9,50.7691,16.05368,0.45
0228003,0228,02,gmina dolnośląskie-centralny-28-03,miejsko-wiejska,7008,26.2,50.87032,16.74282,0.45
0228004,0228,02,gmina dolnośląskie-centralny-28-04,miejsko-wiejska,17035,316.8,50.6651,16.65973,0.45
0228005,0228,02,gmina dolnośląskie-centralny-28-05,wiejska,11433,37.6,51.03904,16.33895,1
0228006,0228,02,gmina dolnośląskie-centralny-28-06,wiejska,28153,165.8,51.01117,16.2449,1
0228007,0228,02,gmina dolnośląskie-centralny-28-07,wiejska,4551,12,50.88995,16.69981,1
0229001,0229,02,gmina dolnośląskie-miejski-29-01,wiejska,9385,50.3,51.15911,17.67962,1
0229002,0229,02,gmina dolnośląskie-miejski-29-02,miejska,8919,92.0,51.06159,17.79341,0.08
0229003,0229,02,gmina dolnośląskie-miejski-29-03,wiejska,3066,29.3,50.92564,17.65644,1
0229004,0229,02,gmina dolnośląskie-miejski-29-04,wiejska,3452,12,50.90802,17.8611,1
0229005,0229,02,gmina dolnośląskie-miejski-29-05,wiejska,13381,72.2,50.94841,17.74741,1
0229006,0229,02,gmina dolnośląskie-miejski-29-06,wiejska,4884,12.2,50.88262,17.60795,1
0229007,0229,02,gmina dolnośląskie-miejski-29-07,wiejska,3938,21.3,51.08302,17.43654,1
0230001,0230,02,gmina dolnośląskie-północny-30-01,miejska,27325,219.3,50.81196,17.43022,0.08
0230002,0230,02,gmina dolnośląskie-północny-30-02,wiejska,3290,19.9,50.77451,17.61773,1
0230003,0230,02,gmina dolnośląskie-północny-30-03,miejsko-wiejska,2053,34.7,50.91373,17.40501,0.45
0230004,0230,02,gmina dolnośląskie-północny-30-04,miejsko-wiejska,11397,159.9,50.75666,17.14079,0.45
0230005,0230,02,gmina dolnośląskie-północny-30-05,miejska,6288,124.9,50.65278,17.35055,0.08
0230006,0230,02,gmina dolnośląskie-północny-30-06,miejsko-wiejska,3430,13.4,50.75012,17.30123,0.45
0230007,0230,02,gmina dolnośląskie-północny-30-07,wiejska,10242,42.2,50.80948,17.4755,1
0401001,0401,04,gmina kujawsko-pomorskie-południowy-01-01,miejsko-wiejska,21551,96.1,52.35392,18.51969,0.45
0401002,0401,04,gmina kujawsko-pomorskie-południowy-01-02,wiejska,17747,110.8,52.32303,18.56027,1
0401003,0401,04,gmina kujawsko-pomorskie-południowy-01-03,wiejska,11103,28.3,52.33439,18.24673,1
0401004,0401,04,gmina kujawsko-pomorskie-południowy-01-04,miejsko-wiejska,9688,83.9,52.3554,18.32996,0.45
0401005,0401,04,gmina kujawsko-pomorskie-południowy-01-05,wiejska,5321,22.3,52.71022,17.99595,1
0401006,0401,04,gmina kujawsko-pomorskie-południowy-01-06,wiejska,9905,103.7,52.4298,18.32419,1
0401007,0401,04,gmina kujawsko-pomorskie-południowy-01-07,wiejska,12995,79.1,52.3836,18.51958,1
0402001,0402,04,gmina kujawsko-pomorskie-wschodni-02-01,wiejska,1894,12,53.10686,19.01643,1
0402002,0402,04,gmina kujawsko-pomorskie-wschodni-02-02,miejska,12628,120.6,53.07936,18.81935,0.08
0402003,0402,04,gmina kujawsko-pomorskie-wschodni-02-03,miejsko-wiejska,9657,35.2,52.85002,18.99771,0.45
0402004,0402,04,gmina kujawsko-pomorskie-wschodni-02-04,wiejska,8144,28.3,52.88532,18.91297,1
0402005,0402,04,gmina kujawsko-pomorskie-wschodni-02-05,wiejska,1813,14.2,52.8828,18.83204,1
0402006,0402,04,gmina kujawsko-pomorskie-wschodni-02-06,wiejska,7525,24.3,53.04041,18.69748,1
0402007,0402,04,gmina kujawsko-pomorskie-wschodni-02-07,wiejska,5918,33.2,53.12621,18.75301,1
0403001,0403,04,gmina kujawsko-pomorskie-zachodni-03-01,miejska,23234,461.8,53.31689,18.61957,0.08
0403002,0403,04,gmina kujawsko-pomorskie-zachodni-03-02,wiejska,12914,29.3,53.5567,18.73832,1
0403003,0403,04,gmina kujawsko-pomorskie-zachodni-03-03,wiejska,7603,28.5,53.41324,18.81102,1
0403004,0403,04,gmina kujawsko-pomorskie-zachodni-03-04,wiejska,9310,22.0,53.3041,18.81058,1
0403005,0403,04,gmina kujawsko-pomorskie-zachodni-03-05,miejska,25453,169.2,53.28648,19.01734,0.08
0403006,0403,04,gmina kujawsko-pomorskie-zachodni-03-06,wiejska,7037,33.0,53.38889,19.00195,1
0403007,0403,04,gmina kujawsko-pomorskie-zachodni-03-07,miejska,17152,580.2,53.09019,18.75177,0.08
0404001,0404,04,gmina kujawsko-pomorskie-centralny-04-01,miejsko-wiejska,5805,34.5,52.79074,18.36095,0.45
0404002,0404,04,gmina kujawsko-pomorskie-centralny-04-02,wiejska,5803,61.8,52.85051,18.40286,1
0404003,0404,04,gmina kujawsko-pomorskie-centralny-04-03,wiejska,5816,15.5,52.84885,17.99696,1
0404004,0404,04,gmina kujawsko-pomorskie-centralny-04-04,miejsko-wiejska,5826,57.4,52.91671,18.16187,0.45
0404005,0404,04,gmina kujawsko-pomorskie-centralny-04-05,miejska,117272,2107.2,52.89192,18.04268,0.08
0404006,0404,04,gmina kujawsko-pomorskie-centralny-04-06,wiejska,5967,18.1,52.58844,18.28834,1
0404007,0404,04,gmina kujawsko-pomorskie-centralny-04-07,miejsko-wiejska,26365,167.5,52.89866,18.4302,0.45
0405001,0405,04,gmina kujawsko-pomorskie-miejski-05-01,wiejska,7319,18.3,53.05294,18.51016,1
0405002,0405,04,gmina kujawsko-pomorskie-miejski-05-02,wiejska,7554,16.4,53.34122,18.28972,1
0405003,0405,04,gmina kujawsko-pomorskie-miejski-05-03,miejsko-wiejska,5839,64.6,53.16542,18.5833,0.45
0405004,0405,04,gmina kujawsko-pomorskie-miejski-05-04,wiejska,3406,31.1,53.55678,18.5977,1
0405005,0405,04,gmina kujawsko-pomorskie-miejski-05-05,wiejska,8608,21.2,53.26252,18.40797,1
0405006,0405,04,gmina kujawsko-pomorskie-miejski-05-06,wiejska,8293,19.4,53.32233,18.35619,1
0405007,0405,04,gmina kujawsko-pomorskie-miejski-05-07,miejsko-wiejska,3314,21.1,53.43578,18.14848,0.45
0406001,0406,04,gmina kujawsko-pomorskie-północny-06-01,wiejska,7204,18.3,52.5286,17.80674,1
0406002,0406,04,gmina kujawsko-pomorskie-północny-06-02,miejsko-wiejska,20251,80.6,52.35782,17.99751,0.45
0406003,0406,04,gmina kujawsko-pomorskie-północny-06-03,miejsko-wiejska,5012,73.1,52.5529,17.78818,0.45
0406004,0406,04,gmina kujawsko-pomorskie-północny-06-04,wiejska,14094,40.1,52.44097,17.75854,1
0406005,0406,04,gmina kujawsko-pomorskie-północny-06-05,miejsko-wiejska,5706,47.9,52.5907,18.18448,0.45
0406006,0406,04,gmina kujawsko-pomorskie-północny-06-06,miejsko-wiejska,33055,166.1,52.52369,17.66497,0.45
0406007,0406,04,gmina kujawsko-pomorskie-północny-06-07,wiejska,5003,14.3,52.38838,17.68735,1
