gmina_code,population,share_75_plus,single_senior_households,home_oxygen_patients,dialysis_patients,disability_share,care_facility_pressure,children_facilities,electric_heating_pct,no_alt_heat_buildings_pct,energy_poverty_pct,remote_rurality,telecom_gap_pct,rescue_travel_time_min,vulnerable_population_est,share_75_plus_norm,single_senior_households_norm,home_oxygen_patients_norm,dialysis_patients_norm,disability_share_norm,care_facility_pressure_norm,children_facilities_norm,electric_heating_pct_norm,no_alt_heat_buildings_pct_norm,energy_poverty_pct_norm,remote_rurality_norm,telecom_gap_pct_norm,rescue_travel_time_min_norm,iwl_score
2010002,19350,0.1703,0.0972,12,8,0.128,0.1449,4,0.2265,0.3767,0.1634,0.9941,0.3129,58.1,3964,0.7051,0.6134,0.1212,0.2105,0.5125,0.1754,0.0741,0.6451,0.6667,0.56,0.9941,0.8054,0.9398,91.11
2012002,35824,0.1758,0.0654,27,5,0.1267,0.4106,7,0.2824,0.3484,0.2043,0.9487,0.1947,43.9,8011,0.7361,0.3761,0.2727,0.1316,0.505,0.4971,0.1296,0.8197,0.6123,0.7143,0.9487,0.5012,0.6885,91.08
0617002,6983,0.1167,0.1164,5,1,0.1649,0.3101,1,0.2794,0.3264,0.1866,0.9702,0.2631,60.7,1378,0.4035,0.7567,0.0505,0.0263,0.7274,0.3754,0.0185,0.8104,0.57,0.6475,0.9702,0.6772,0.9858,90.81
2814005,9032,0.1487,0.1174,8,2,0.0848,0.4226,3,0.2875,0.3272,0.1739,1.0,0.2856,56.2,1645,0.5836,0.7642,0.0808,0.0526,0.2609,0.5116,0.0556,0.8357,0.5715,0.5996,1.0,0.7351,0.9062,90.78
2805006,18142,0.1856,0.0748,13,4,0.1341,0.2863,5,0.2774,0.4184,0.1444,1.0,0.2944,41.5,3768,0.7912,0.4463,0.1313,0.1053,0.548,0.3466,0.0926,0.8041,0.7469,0.4883,1.0,0.7578,0.646,90.47
0606003,12264,0.1578,0.0672,13,4,0.1624,0.6525,4,0.2271,0.4321,0.125,0.8846,0.2518,49.0,2391,0.6348,0.3896,0.1313,0.1053,0.7129,0.79,0.0741,0.647,0.7733,0.4151,0.8846,0.6481,0.7788,90.38
0608004,40710,0.0928,0.0936,25,6,0.1704,0.5348,7,0.1804,0.3938,0.1259,1.0,0.3885,40.0,6586,0.269,0.5866,0.2525,0.1579,0.7595,0.6475,0.1296,0.5011,0.6996,0.4185,1.0,1.0,0.6195,90.15
2002002,14317,0.1436,0.0804,11,5,0.1284,0.3713,3,0.2522,0.3602,0.191,1.0,0.3628,44.0,2883,0.5549,0.4881,0.1111,0.1316,0.5149,0.4495,0.0556,0.7254,0.635,0.6642,1.0,0.9338,0.6903,90.02
2811001,9089,0.1385,0.0977,5,4,0.1517,0.2728,4,0.2775,0.4098,0.2277,1.0,0.2008,45.2,2011,0.5262,0.6172,0.0505,0.1053,0.6506,0.3303,0.0741,0.8044,0.7304,0.8026,1.0,0.5169,0.7115,89.86
0618006,3614,0.172,0.1138,5,0,0.179,0.235,3,0.2455,0.2771,0.1596,1.0,0.311,46.2,804,0.7147,0.7373,0.0505,0.0,0.8096,0.2845,0.0556,0.7045,0.4752,0.5457,1.0,0.8005,0.7292,89.72
1439001,1800,0.1253,0.0948,1,0,0.1979,0.4848,1,0.2784,0.293,0.2137,1.0,0.2702,38.8,403,0.4519,0.5955,0.0101,0.0,0.9196,0.5869,0.0185,0.8072,0.5058,0.7498,1.0,0.6955,0.5982,89.57
2803002,19680,0.1391,0.1174,17,4,0.1064,0.5453,3,0.2004,0.3658,0.1797,1.0,0.304,37.9,3674,0.5295,0.7642,0.1717,0.1053,0.3867,0.6602,0.0556,0.5636,0.6458,0.6215,1.0,0.7825,0.5823,89.51
2013003,6685,0.2086,0.1042,5,0,0.151,0.3258,3,0.2609,0.3783,0.137,1.0,0.2363,37.0,1491,0.9207,0.6657,0.0505,0.0,0.6465,0.3944,0.0556,0.7526,0.6698,0.4604,1.0,0.6082,0.5664,89.47
1424004,10174,0.2227,0.0909,9,4,0.1279,0.2094,4,0.2607,0.4431,0.11,1.0,0.2349,41.9,2162,1.0,0.5664,0.0909,0.1053,0.5119,0.2535,0.0741,0.752,0.7944,0.3585,1.0,0.6046,0.6531,89.44
2006001,34695,0.1601,0.0761,13,9,0.1316,0.4649,9,0.2337,0.2872,0.1761,1.0,0.283,46.2,7119,0.6477,0.456,0.1313,0.2368,0.5335,0.5628,0.1667,0.6676,0.4946,0.6079,1.0,0.7284,0.7292,89.37
2814001,15791,0.1912,0.0873,16,5,0.1257,0.4677,3,0.1711,0.3472,0.1825,1.0,0.2458,48.5,3529,0.8227,0.5396,0.1616,0.1316,0.4991,0.5662,0.0556,0.472,0.61,0.6321,1.0,0.6327,0.7699,89.23
1424001,4987,0.1327,0.1303,4,1,0.0787,0.37,1,0.253,0.4339,0.2022,1.0,0.2573,53.4,909,0.4935,0.8604,0.0404,0.0263,0.2254,0.4479,0.0185,0.7279,0.7767,0.7064,1.0,0.6623,0.8566,89.21
2816003,4514,0.1545,0.0846,1,0,0.1697,0.4048,0,0.3138,0.3942,0.1499,0.693,0.252,56.1,923,0.6162,0.5194,0.0101,0.0,0.7554,0.4901,0.0,0.9178,0.7004,0.5091,0.693,0.6486,0.9044,89.09
1414005,2618,0.1444,0.0925,2,0,0.1063,0.5066,1,0.2639,0.4375,0.2211,1.0,0.2332,48.1,538,0.5594,0.5784,0.0202,0.0,0.3861,0.6133,0.0185,0.7619,0.7837,0.7777,1.0,0.6003,0.7628,88.93
2007003,8015,0.1511,0.0818,7,6,0.1364,0.6461,2,0.2084,0.3426,0.1304,1.0,0.3346,45.8,1479,0.5971,0.4985,0.0707,0.1579,0.5614,0.7822,0.037,0.5886,0.6012,0.4355,1.0,0.8613,0.7221,88.85
2009005,8373,0.2066,0.1137,5,2,0.0746,0.3061,2,0.2896,0.3582,0.1567,1.0,0.1992,52.2,1701,0.9094,0.7366,0.0505,0.0526,0.2015,0.3706,0.037,0.8422,0.6312,0.5347,1.0,0.5127,0.8354,88.85
1434007,13406,0.1862,0.1311,9,5,0.1682,0.1768,3,0.2514,0.298,0.1257,0.9555,0.2127,41.9,2850,0.7946,0.8664,0.0909,0.1316,0.7467,0.214,0.0556,0.7229,0.5154,0.4177,0.9555,0.5475,0.6531,88.81
2002006,6699,0.1834,0.0844,5,1,0.1602,0.4597,0,0.2525,0.2655,0.1794,1.0,0.2877,41.9,1538,0.7788,0.5179,0.0505,0.0263,0.7001,0.5565,0.0,0.7263,0.4529,0.6204,1.0,0.7405,0.6531,88.78
1407003,13865,0.182,0.0822,8,1,0.1542,0.559,2,0.2046,0.3277,0.2061,1.0,0.2867,32.0,3288,0.771,0.5015,0.0808,0.0263,0.6651,0.6768,0.037,0.5767,0.5725,0.7211,1.0,0.738,0.4779,88.68
1004007,13513,0.1423,0.1081,11,0,0.1901,0.5997,3,0.2173,0.3503,0.1313,1.0,0.2224,37.9,2677,0.5476,0.6948,0.1111,0.0,0.8742,0.726,0.0556,0.6164,0.616,0.4389,1.0,0.5725,0.5823,88.59
0603006,10169,0.1845,0.1057,7,2,0.131,0.3093,3,0.2721,0.3263,0.1213,1.0,0.2836,45.1,2000,0.785,0.6769,0.0707,0.0526,0.53,0.3745,0.0556,0.7876,0.5698,0.4011,1.0,0.73,0.7097,88.5
1417002,1800,0.1493,0.1278,0,0,0.1301,0.1958,0,0.2091,0.5146,0.1812,0.9453,0.2992,45.8,360,0.5869,0.8418,0.0,0.0,0.5248,0.237,0.0,0.5908,0.9319,0.6272,0.9453,0.7701,0.7221,88.44
1804001,22044,0.174,0.1047,22,6,0.1607,0.3173,7,0.189,0.237,0.1678,0.9444,0.2678,42.8,4857,0.7259,0.6694,0.2222,0.1579,0.703,0.3841,0.1296,0.528,0.3981,0.5766,0.9444,0.6893,0.669,88.37
2808001,16555,0.2034,0.0584,11,7,0.1074,0.367,4,0.2697,0.3414,0.1419,1.0,0.3147,42.0,3431,0.8914,0.3239,0.1111,0.1842,0.3925,0.4443,0.0741,0.7801,0.5988,0.4789,1.0,0.81,0.6549,88.18
2813004,5128,0.1733,0.1172,1,3,0.1692,0.2113,3,0.2331,0.3499,0.229,1.0,0.1374,43.8,1266,0.722,0.7627,0.0101,0.0789,0.7525,0.2558,0.0556,0.6657,0.6152,0.8075,1.0,0.3537,0.6867,88.06
1426005,14398,0.1333,0.0932,9,4,0.135,0.4895,4,0.2673,0.352,0.1459,1.0,0.2754,44.4,2589,0.4969,0.5836,0.0909,0.1053,0.5533,0.5926,0.0741,0.7726,0.6192,0.494,1.0,0.7089,0.6973,87.99
2819003,5929,0.1487,0.0967,3,2,0.1408,0.2777,1,0.2597,0.4336,0.1471,1.0,0.3127,45.2,1130,0.5836,0.6097,0.0303,0.0526,0.5871,0.3362,0.0185,0.7488,0.7762,0.4985,1.0,0.8049,0.7115,87.96
0415007,24388,0.1888,0.1183,23,4,0.1212,0.1506,12,0.2192,0.2742,0.1382,1.0,0.3143,36.1,4942,0.8092,0.7709,0.2323,0.1053,0.4729,0.1823,0.2222,0.6223,0.4696,0.4649,1.0,0.809,0.5504,87.84
1422005,30082,0.1606,0.085,21,7,0.1426,0.3733,4,0.1713,0.3553,0.1459,0.997,0.2824,49.7,5942,0.6505,0.5224,0.2121,0.1842,0.5976,0.4519,0.0741,0.4727,0.6256,0.494,0.997,0.7269,0.7912,87.78
1434001,13173,0.1109,0.0902,5,4,0.1673,0.271,5,0.2589,0.406,0.175,0.9844,0.2665,53.1,2505,0.3708,0.5612,0.0505,0.1053,0.7414,0.3281,0.0926,0.7463,0.7231,0.6038,0.9844,0.686,0.8513,87.71
2013002,6822,0.1711,0.0872,6,2,0.125,0.5477,0,0.2178,0.4073,0.1555,0.9229,0.2387,50.9,1372,0.7096,0.5388,0.0606,0.0526,0.495,0.6631,0.0,0.6179,0.7256,0.5302,0.9229,0.6144,0.8124,87.65
0623004,179316,0.0905,0.0718,96,38,0.0865,0.3087,54,0.1815,0.3505,0.0677,0.3241,0.1372,26.0,19344,0.256,0.4239,0.9697,1.0,0.2708,0.3737,1.0,0.5045,0.6163,0.1989,0.3241,0.3532,0.3717,87.64
0201001,17584,0.1033,0.1144,10,5,0.1242,0.8127,2,0.2397,0.2909,0.1793,1.0,0.2527,32.1,3039,0.3281,0.7418,0.101,0.1316,0.4904,0.9839,0.037,0.6863,0.5017,0.62,1.0,0.6505,0.4796,87.59
2012006,4127,0.1788,0.0848,2,1,0.128,0.3306,0,0.3006,0.3011,0.1585,1.0,0.2756,51.4,855,0.753,0.5209,0.0202,0.0263,0.5125,0.4002,0.0,0.8766,0.5213,0.5415,1.0,0.7094,0.8212,87.57
2004006,8437,0.2211,0.0705,7,0,0.1265,0.4064,3,0.2539,0.4418,0.125,0.9756,0.2399,38.0,1828,0.991,0.4142,0.0707,0.0,0.5038,0.492,0.0556,0.7307,0.7919,0.4151,0.9756,0.6175,0.5841,87.34
1425004,10960,0.1453,0.0856,7,3,0.1293,0.6241,2,0.2755,0.3377,0.1325,1.0,0.2371,45.7,1962,0.5644,0.5269,0.0707,0.0789,0.5201,0.7556,0.037,0.7982,0.5917,0.4434,1.0,0.6103,0.7204,87.25
1206003,20143,0.1373,0.0886,18,2,0.1434,0.5376,3,0.2224,0.2781,0.1919,1.0,0.2826,40.1,4098,0.5194,0.5493,0.1818,0.0526,0.6022,0.6508,0.0556,0.6323,0.4771,0.6675,1.0,0.7274,0.6212,87.16
1424002,14384,0.1006,0.1179,14,1,0.1513,0.5311,4,0.2142,0.3294,0.1694,1.0,0.3008,39.4,2547,0.3129,0.7679,0.1414,0.0263,0.6482,0.643,0.0741,0.6067,0.5758,0.5826,1.0,0.7743,0.6088,87.15
1421006,8340,0.1555,0.1235,2,1,0.1254,0.4559,1,0.2289,0.3673,0.1636,1.0,0.2965,32.6,1628,0.6218,0.8097,0.0202,0.0263,0.4974,0.5519,0.0185,0.6526,0.6487,0.5608,1.0,0.7632,0.4885,87.08
1420005,9010,0.1336,0.1157,5,3,0.1553,0.2928,2,0.2505,0.3994,0.1609,0.8863,0.2287,48.1,1739,0.4986,0.7515,0.0505,0.0789,0.6715,0.3545,0.037,0.7201,0.7104,0.5506,0.8863,0.5887,0.7628,87.03
0611001,19738,0.1426,0.0967,13,4,0.1556,0.3131,7,0.2178,0.3648,0.1902,0.8224,0.2396,49.0,4141,0.5492,0.6097,0.1313,0.1053,0.6733,0.3791,0.1296,0.6179,0.6438,0.6611,0.8224,0.6167,0.7788,87.02
2401003,8034,0.1548,0.1122,6,2,0.1315,0.5386,3,0.2259,0.3434,0.1962,0.9667,0.217,34.6,1692,0.6179,0.7254,0.0606,0.0526,0.5329,0.6521,0.0556,0.6432,0.6027,0.6838,0.9667,0.5586,0.5239,87.0
1430001,10251,0.1657,0.0977,5,2,0.1325,0.4512,2,0.1979,0.3198,0.2191,0.8407,0.2316,55.4,2315,0.6792,0.6172,0.0505,0.0526,0.5387,0.5462,0.037,0.5558,0.5573,0.7702,0.8407,0.5961,0.892,86.97
2809004,17960,0.1482,0.0723,10,6,0.1178,0.1063,4,0.2295,0.3636,0.235,1.0,0.2942,60.0,3908,0.5808,0.4276,0.101,0.1579,0.4531,0.1287,0.0741,0.6545,0.6415,0.8302,1.0,0.7573,0.9735,86.87
0620003,137797,0.1121,0.0669,99,34,0.1401,0.32,36,0.188,0.3075,0.06,0.0426,0.1822,21.2,18692,0.3776,0.3873,1.0,0.8947,0.583,0.3874,0.6667,0.5248,0.5337,0.1698,0.0426,0.469,0.2867,86.75
2818001,5506,0.1931,0.1165,4,2,0.1655,0.1455,1,0.2694,0.4498,0.0955,0.7708,0.318,24.4,1120,0.8334,0.7575,0.0404,0.0526,0.7309,0.1762,0.0185,0.7791,0.8073,0.3038,0.7708,0.8185,0.3434,86.69
2008006,7922,0.184,0.09,6,2,0.1333,0.0909,1,0.2594,0.4481,0.2319,0.876,0.1971,43.7,1914,0.7822,0.5597,0.0606,0.0526,0.5434,0.11,0.0185,0.7479,0.804,0.8185,0.876,0.5073,0.685,86.69
0615003,17130,0.1313,0.0938,9,7,0.1743,0.4301,1,0.2408,0.3212,0.1314,0.9156,0.2397,47.2,3198,0.4856,0.5881,0.0909,0.1842,0.7822,0.5207,0.0185,0.6898,0.56,0.4392,0.9156,0.617,0.7469,86.29
2817003,7432,0.127,0.1007,5,0,0.1172,0.3093,1,0.3348,0.3296,0.1593,1.0,0.2831,47.8,1302,0.4615,0.6396,0.0505,0.0,0.4496,0.3745,0.0185,0.9834,0.5762,0.5445,1.0,0.7287,0.7575,86.28
1403007,8868,0.1946,0.1018,10,4,0.116,0.0,2,0.2307,0.3986,0.1868,1.0,0.2493,45.9,1985,0.8419,0.6478,0.101,0.1053,0.4426,0.0,0.037,0.6582,0.7088,0.6483,1.0,0.6417,0.7239,86.25
0623007,2017,0.1572,0.0721,1,1,0.1666,0.4536,1,0.2198,0.3816,0.1571,1.0,0.2832,47.7,420,0.6314,0.4261,0.0101,0.0263,0.7373,0.5492,0.0185,0.6242,0.6762,0.5362,1.0,0.729,0.7558,86.11
0622005,8490,0.157,0.1158,7,1,0.1521,0.2609,4,0.1978,0.3055,0.2204,1.0,0.2291,44.6,1941,0.6303,0.7522,0.0707,0.0263,0.6529,0.3159,0.0741,0.5555,0.5298,0.7751,1.0,0.5897,0.7009,86.1
1408002,12154,0.1564,0.0876,10,2,0.1618,0.3966,1,0.257,0.4145,0.1018,1.0,0.2384,40.0,2240,0.6269,0.5418,0.101,0.0526,0.7094,0.4801,0.0185,0.7404,0.7394,0.3275,1.0,0.6136,0.6195,86.05
2611004,17078,0.1661,0.069,7,5,0.1746,0.3922,3,0.2279,0.3211,0.1676,1.0,0.1895,51.2,3760,0.6815,0.403,0.0707,0.1316,0.7839,0.4748,0.0556,0.6495,0.5598,0.5758,1.0,0.4878,0.8177,85.99
2007004,4340,0.1379,0.0934,2,0,0.1619,0.3896,0,0.25,0.4105,0.1704,0.9695,0.2467,43.2,872,0.5228,0.5851,0.0202,0.0,0.71,0.4717,0.0,0.7185,0.7317,0.5864,0.9695,0.635,0.6761,85.99
1435002,10745,0.1489,0.0746,8,1,0.1585,0.3012,3,0.3159,0.3238,0.1416,1.0,0.2427,48.0,2093,0.5847,0.4448,0.0808,0.0263,0.6902,0.3646,0.0556,0.9244,0.565,0.4777,1.0,0.6247,0.7611,85.95
2001003,16951,0.1655,0.0905,8,2,0.1198,0.1932,10,0.2724,0.4849,0.1541,0.8416,0.2103,47.3,3308,0.6781,0.5634,0.0808,0.0526,0.4648,0.2339,0.1852,0.7885,0.8748,0.5249,0.8416,0.5413,0.7487,85.94
0612004,6402,0.1722,0.0979,4,0,0.103,0.6536,2,0.2716,0.389,0.1281,1.0,0.1883,38.4,1169,0.7158,0.6187,0.0404,0.0,0.3669,0.7913,0.037,0.786,0.6904,0.4268,1.0,0.4847,0.5912,85.91
0613001,12049,0.1372,0.1024,7,2,0.1422,0.339,3,0.2205,0.4044,0.1683,1.0,0.2167,51.5,2329,0.5189,0.6522,0.0707,0.0526,0.5952,0.4104,0.0556,0.6264,0.72,0.5785,1.0,0.5578,0.823,85.89
2808005,15102,0.1654,0.0891,10,3,0.1448,0.4572,2,0.2321,0.3747,0.1199,0.8801,0.2834,39.3,2876,0.6775,0.553,0.101,0.0789,0.6104,0.5535,0.037,0.6626,0.6629,0.3958,0.8801,0.7295,0.6071,85.82
3016003,22113,0.176,0.048,11,9,0.1878,0.3799,4,0.2274,0.3025,0.2089,1.0,0.159,39.8,5461,0.7372,0.2463,0.1111,0.2368,0.8608,0.4599,0.0741,0.6479,0.524,0.7317,1.0,0.4093,0.6159,85.77
0813007,4116,0.1569,0.1019,7,1,0.135,0.6731,4,0.1794,0.3043,0.1573,1.0,0.2609,40.2,816,0.6297,0.6485,0.0707,0.0263,0.5533,0.8149,0.0741,0.498,0.5275,0.537,1.0,0.6716,0.623,85.64
1404002,11516,0.1821,0.0737,4,0,0.1466,0.2794,3,0.2686,0.2633,0.1661,0.9024,0.2855,57.0,2513,0.7715,0.4381,0.0404,0.0,0.6209,0.3383,0.0556,0.7766,0.4487,0.5702,0.9024,0.7349,0.9204,85.63
0607005,6808,0.1551,0.0987,10,2,0.1213,0.2715,3,0.244,0.3453,0.1424,1.0,0.2667,53.8,1269,0.6196,0.6246,0.101,0.0526,0.4735,0.3287,0.0556,0.6998,0.6063,0.4808,1.0,0.6865,0.8637,85.56
2808004,10154,0.1493,0.0615,7,3,0.1692,0.2546,5,0.2285,0.41,0.28,0.8643,0.234,34.9,2582,0.5869,0.347,0.0707,0.0789,0.7525,0.3082,0.0926,0.6514,0.7308,1.0,0.8643,0.6023,0.5292,85.4
1423003,8469,0.1788,0.1201,6,2,0.0921,0.3677,2,0.266,0.3921,0.1205,0.9309,0.2171,41.3,1522,0.753,0.7843,0.0606,0.0526,0.3034,0.4452,0.037,0.7685,0.6963,0.3981,0.9309,0.5588,0.6425,85.34
2013004,3275,0.1508,0.0928,3,1,0.1423,0.4993,0,0.2741,0.2372,0.2039,0.9714,0.2043,46.5,705,0.5954,0.5806,0.0303,0.0263,0.5958,0.6045,0.0,0.7938,0.3985,0.7128,0.9714,0.5259,0.7345,85.33
2817006,21450,0.1452,0.096,19,6,0.1539,0.4109,5,0.2273,0.2936,0.1823,0.7622,0.2231,38.6,4457,0.5639,0.6045,0.1919,0.1579,0.6634,0.4975,0.0926,0.6476,0.5069,0.6313,0.7622,0.5743,0.5947,85.28
1404004,1800,0.1568,0.1096,2,0,0.1682,0.2194,0,0.2356,0.353,0.1711,1.0,0.2633,39.3,386,0.6292,0.706,0.0202,0.0,0.7467,0.2656,0.0,0.6735,0.6212,0.5891,1.0,0.6777,0.6071,85.2
2819006,8732,0.1157,0.0899,9,1,0.1164,0.2179,3,0.2245,0.4737,0.2225,1.0,0.2193,59.9,1698,0.3979,0.559,0.0909,0.0263,0.445,0.2638,0.0556,0.6389,0.8533,0.783,1.0,0.5645,0.9717,85.2
0407002,46255,0.173,0.0837,39,9,0.1192,0.2957,8,0.1635,0.2952,0.1441,1.0,0.2422,39.5,9045,0.7203,0.5127,0.3939,0.2368,0.4613,0.358,0.1481,0.4483,0.51,0.4872,1.0,0.6234,0.6106,85.11
2002001,16127,0.148,0.1043,4,4,0.1226,0.5377,3,0.2434,0.3276,0.1742,1.0,0.1843,40.6,3136,0.5796,0.6664,0.0404,0.1053,0.4811,0.651,0.0556,0.6979,0.5723,0.6008,1.0,0.4744,0.6301,85.1
2017001,13879,0.1601,0.1153,12,0,0.0989,0.1753,5,0.2742,0.407,0.0923,1.0,0.2983,45.4,2226,0.6477,0.7485,0.1212,0.0,0.343,0.2122,0.0926,0.7941,0.725,0.2917,1.0,0.7678,0.715,85.04
2001005,2476,0.1657,0.0786,2,0,0.1783,0.1056,1,0.2177,0.41,0.2011,1.0,0.2429,50.2,581,0.6792,0.4746,0.0202,0.0,0.8055,0.1278,0.0185,0.6176,0.7308,0.7023,1.0,0.6252,0.8,84.95
1422003,15216,0.1675,0.0409,8,3,0.1711,0.19,3,0.2708,0.3372,0.1381,1.0,0.3101,54.9,3164,0.6894,0.1933,0.0808,0.0789,0.7635,0.23,0.0556,0.7835,0.5908,0.4645,1.0,0.7982,0.8832,84.92
2810002,4051,0.1642,0.0888,1,0,0.0686,0.4027,2,0.2786,0.4347,0.1764,1.0,0.2758,43.0,749,0.6708,0.5507,0.0101,0.0,0.1666,0.4875,0.037,0.8079,0.7783,0.6091,1.0,0.7099,0.6726,84.88
1403001,2721,0.1391,0.0912,0,0,0.1159,0.7078,0,0.2781,0.2978,0.2146,0.9546,0.2426,31.2,552,0.5295,0.5687,0.0,0.0,0.4421,0.8569,0.0,0.8063,0.515,0.7532,0.9546,0.6245,0.4637,84.88
2815001,3573,0.2024,0.0597,3,1,0.1151,0.3233,0,0.2786,0.3722,0.2148,1.0,0.1908,42.5,852,0.8858,0.3336,0.0303,0.0263,0.4374,0.3914,0.0,0.8079,0.6581,0.754,1.0,0.4911,0.6637,84.83
0605002,2088,0.1828,0.1126,2,0,0.1306,0.1474,1,0.1785,0.432,0.1859,0.9658,0.2576,46.7,462,0.7755,0.7284,0.0202,0.0,0.5277,0.1785,0.0185,0.4952,0.7731,0.6449,0.9658,0.6631,0.7381,84.82
1423005,2911,0.1425,0.0937,2,2,0.1379,0.4405,1,0.2338,0.3895,0.1592,1.0,0.2307,46.7,558,0.5487,0.5873,0.0202,0.0526,0.5702,0.5333,0.0185,0.6679,0.6913,0.5442,1.0,0.5938,0.7381,84.8
0221002,7992,0.1712,0.1066,5,3,0.1675,0.3902,5,0.1678,0.355,0.1684,0.9249,0.3065,23.3,1767,0.7102,0.6836,0.0505,0.0789,0.7426,0.4724,0.0926,0.4617,0.625,0.5789,0.9249,0.7889,0.3239,84.78
1419003,12586,0.1485,0.1186,9,2,0.1675,0.1283,1,0.2572,0.3581,0.1276,1.0,0.1785,49.6,2419,0.5824,0.7731,0.0909,0.0526,0.7426,0.1553,0.0185,0.741,0.631,0.4249,1.0,0.4595,0.7894,84.78
