team_id,sequence,person_token,gmina_code,eta_min,action
OSP-TEAM-05,6,PRIO-00063,1009002,239.5,visit_or_call_first_if_coverage_available
OSP-TEAM-05,7,PRIO-00543,1014002,303.5,visit_or_call_first_if_coverage_available
OSP-TEAM-05,8,PRIO-00171,1012001,351.7,visit_or_call_first_if_coverage_available
OSP-TEAM-06,1,PRIO-00470,1206003,30.8,visit_or_call_first_if_coverage_available
OSP-TEAM-06,2,PRIO-00412,1206003,48.8,visit_or_call_first_if_coverage_available
OSP-TEAM-06,3,PRIO-00860,1203001,127.5,visit_or_call_first_if_coverage_available
OSP-TEAM-06,4,PRIO-00602,1203006,153.7,visit_or_call_first_if_coverage_available
OSP-TEAM-06,5,PRIO-00177,1214006,248.8,visit_or_call_first_if_coverage_available
OSP-TEAM-06,6,PRIO-01061,1208002,374.1,visit_or_call_first_if_coverage_available
OSP-TEAM-06,7,PRIO-00099,1208006,468.2,visit_or_call_first_if_coverage_available
OSP-TEAM-07,1,PRIO-00231,1411003,18.4,visit_or_call_first_if_coverage_available
OSP-TEAM-07,2,PRIO-00374,1409002,48.0,visit_or_call_first_if_coverage_available
OSP-TEAM-07,3,PRIO-00644,1442005,94.0,visit_or_call_first_if_coverage_available
OSP-TEAM-07,4,PRIO-00136,1407003,129.7,visit_or_call_first_if_coverage_available
OSP-TEAM-07,5,PRIO-00252,1422007,172.4,visit_or_call_first_if_coverage_available
OSP-TEAM-07,6,PRIO-00322,1431002,207.2,visit_or_call_first_if_coverage_available
OSP-TEAM-07,7,PRIO-00279,1412005,238.1,visit_or_call_first_if_coverage_available
OSP-TEAM-07,8,PRIO-01039,1416001,267.6,visit_or_call_first_if_coverage_available
OSP-TEAM-07,9,PRIO-00237,1402006,315.4,visit_or_call_first_if_coverage_available
OSP-TEAM-07,10,PRIO-00816,1431006,344.4,visit_or_call_first_if_coverage_available
OSP-TEAM-07,11,PRIO-00249,1422005,372.4,visit_or_call_first_if_coverage_available
OSP-TEAM-07,12,PRIO-00218,1422005,390.4,visit_or_call_first_if_coverage_available
OSP-TEAM-07,13,PRIO-00145,1416002,428.2,visit_or_call_first_if_coverage_available
OSP-TEAM-07,14,PRIO-00134,1402001,472.8,visit_or_call_first_if_coverage_available
OSP-TEAM-08,1,PRIO-00312,1602004,49.7,visit_or_call_first_if_coverage_available
OSP-TEAM-08,2,PRIO-00405,1605004,108.2,visit_or_call_first_if_coverage_available
OSP-TEAM-08,3,PRIO-00482,1605002,182.9,visit_or_call_first_if_coverage_available
OSP-TEAM-08,4,PRIO-00002,1605007,223.6,visit_or_call_first_if_coverage_available
OSP-TEAM-08,5,PRIO-00819,1610001,377.5,visit_or_call_first_if_coverage_available
OSP-TEAM-09,1,PRIO-00994,1822005,24.8,visit_or_call_first_if_coverage_available
OSP-TEAM-09,2,PRIO-00794,1822004,70.6,visit_or_call_first_if_coverage_available
OSP-TEAM-09,3,PRIO-00831,1802006,128.8,visit_or_call_first_if_coverage_available
OSP-TEAM-09,4,PRIO-00160,1802001,157.3,visit_or_call_first_if_coverage_available
OSP-TEAM-09,5,PRIO-00501,1814002,200.7,visit_or_call_first_if_coverage_available
OSP-TEAM-09,6,PRIO-01168,1814002,218.7,visit_or_call_first_if_coverage_available
OSP-TEAM-09,7,PRIO-01145,1801003,291.4,visit_or_call_first_if_coverage_available
OSP-TEAM-10,1,PRIO-00031,2014001,40.4,visit_or_call_first_if_coverage_available
OSP-TEAM-10,2,PRIO-00504,2012004,78.2,visit_or_call_first_if_coverage_available
OSP-TEAM-10,3,PRIO-00410,2009002,118.3,visit_or_call_first_if_coverage_available
OSP-TEAM-10,4,PRIO-00566,2009002,136.3,visit_or_call_first_if_coverage_available
OSP-TEAM-10,5,PRIO-01135,2014004,165.5,visit_or_call_first_if_coverage_available
OSP-TEAM-10,6,PRIO-00029,2014004,183.5,visit_or_call_first_if_coverage_available
OSP-TEAM-10,7,PRIO-00018,2014004,201.5,visit_or_call_first_if_coverage_available
OSP-TEAM-10,8,PRIO-00189,2009006,229.2,visit_or_call_first_if_coverage_available
OSP-TEAM-10,9,PRIO-00105,2009003,285.5,visit_or_call_first_if_coverage_available
OSP-TEAM-10,10,PRIO-00920,2009003,303.5,visit_or_call_first_if_coverage_available
OSP-TEAM-10,11,PRIO-01118,2014005,355.6,visit_or_call_first_if_coverage_available
OSP-TEAM-10,12,PRIO-00792,2012002,385.1,visit_or_call_first_if_coverage_available
OSP-TEAM-10,13,PRIO-00283,2012002,403.1,visit_or_call_first_if_coverage_available
OSP-TEAM-10,14,PRIO-00652,2010002,440.4,visit_or_call_first_if_coverage_available
OSP-TEAM-10,15,PRIO-00174,2005001,466.7,visit_or_call_first_if_coverage_available
OSP-TEAM-11,1,PRIO-00021,2213003,78.1,visit_or_call_first_if_coverage_available
OSP-TEAM-11,2,PRIO-00589,2213001,121.7,visit_or_call_first_if_coverage_available
OSP-TEAM-11,3,PRIO-01027,2213006,174.9,visit_or_call_first_if_coverage_available
OSP-TEAM-11,4,PRIO-00217,2215006,322.9,visit_or_call_first_if_coverage_available
OSP-TEAM-11,5,PRIO-00201,2215001,356.3,visit_or_call_first_if_coverage_available
OSP-TEAM-11,6,PRIO-01099,2208001,414.5,visit_or_call_first_if_coverage_available
OSP-TEAM-12,1,PRIO-01097,2402005,35.7,visit_or_call_first_if_coverage_available
OSP-TEAM-12,2,PRIO-00366,2431001,86.4,visit_or_call_first_if_coverage_available
OSP-TEAM-12,3,PRIO-00375,2413006,125.7,visit_or_call_first_if_coverage_available
OSP-TEAM-12,4,PRIO-00244,2413006,143.7,visit_or_call_first_if_coverage_available
OSP-TEAM-12,5,PRIO-00111,2413005,202.4,visit_or_call_first_if_coverage_available
OSP-TEAM-12,6,PRIO-01123,2421005,256.6,visit_or_call_first_if_coverage_available
OSP-TEAM-12,7,PRIO-00532,2421005,274.6,visit_or_call_first_if_coverage_available
OSP-TEAM-12,8,PRIO-00538,2406002,309.7,visit_or_call_first_if_coverage_available
OSP-TEAM-12,9,PRIO-00497,2406002,327.7,visit_or_call_first_if_coverage_available
OSP-TEAM-12,10,PRIO-01019,2425004,381.4,visit_or_call_first_if_coverage_available
OSP-TEAM-12,11,PRIO-00059,2409003,462.7,visit_or_call_first_if_coverage_available
OSP-TEAM-13,1,PRIO-01215,2612006,50.1,visit_or_call_first_if_coverage_available
OSP-TEAM-13,2,PRIO-01242,2613003,100.6,visit_or_call_first_if_coverage_available
OSP-TEAM-13,3,PRIO-00107,2612005,134.1,visit_or_call_first_if_coverage_available
OSP-TEAM-13,4,PRIO-00704,2613002,213.1,visit_or_call_first_if_coverage_available
OSP-TEAM-13,5,PRIO-00507,2601005,328.7,visit_or_call_first_if_coverage_available
OSP-TEAM-13,6,PRIO-00285,2605002,424.1,visit_or_call_first_if_coverage_available
OSP-TEAM-14,1,PRIO-00691,2817006,54.0,visit_or_call_first_if_coverage_available
OSP-TEAM-14,2,PRIO-00191,2801006,93.8,visit_or_call_first_if_coverage_available
OSP-TEAM-14,3,PRIO-00124,2801006,111.8,visit_or_call_first_if_coverage_available
OSP-TEAM-14,4,PRIO-01025,2801006,129.8,visit_or_call_first_if_coverage_available
OSP-TEAM-14,5,PRIO-00891,2801006,147.8,visit_or_call_first_if_coverage_available
OSP-TEAM-14,6,PRIO-00143,2806004,197.6,visit_or_call_first_if_coverage_available
OSP-TEAM-14,7,PRIO-00842,2817001,231.5,visit_or_call_first_if_coverage_available
OSP-TEAM-14,8,PRIO-01213,2817002,258.9,visit_or_call_first_if_coverage_available
OSP-TEAM-14,9,PRIO-00908,2806006,303.1,visit_or_call_first_if_coverage_available
OSP-TEAM-14,10,PRIO-00395,2815004,368.3,visit_or_call_first_if_coverage_available
OSP-TEAM-14,11,PRIO-00317,2815004,386.3,visit_or_call_first_if_coverage_available
OSP-TEAM-14,12,PRIO-00588,2815004,404.3,visit_or_call_first_if_coverage_available
OSP-TEAM-14,13,PRIO-01227,2815004,422.3,visit_or_call_first_if_coverage_available
OSP-TEAM-14,14,PRIO-00348,2820001,447.8,visit_or_call_first_if_coverage_available
OSP-TEAM-15,1,PRIO-01136,3008001,50.1,visit_or_call_first_if_coverage_available
OSP-TEAM-15,2,PRIO-00198,3021006,80.4,visit_or_call_first_if_coverage_available
OSP-TEAM-15,3,PRIO-00219,3005004,123.3,visit_or_call_first_if_coverage_available
OSP-TEAM-15,4,PRIO-00493,3008003,162.6,visit_or_call_first_if_coverage_available
OSP-TEAM-15,5,PRIO-00987,3008003,180.6,visit_or_call_first_if_coverage_available
OSP-TEAM-15,6,PRIO-00879,3028004,239.3,visit_or_call_first_if_coverage_available
OSP-TEAM-15,7,PRIO-00707,3031005,331.4,visit_or_call_first_if_coverage_available
OSP-TEAM-15,8,PRIO-00805,3016002,399.8,visit_or_call_first_if_coverage_available
OSP-TEAM-15,9,PRIO-01004,3017003,450.8,visit_or_call_first_if_coverage_available
OSP-TEAM-16,1,PRIO-00942,3209001,31.4,visit_or_call_first_if_coverage_available
OSP-TEAM-16,2,PRIO-00183,3208004,72.8,visit_or_call_first_if_coverage_available
OSP-TEAM-16,3,PRIO-00743,3221003,123.3,visit_or_call_first_if_coverage_available
OSP-TEAM-16,4,PRIO-00679,3207006,173.9,visit_or_call_first_if_coverage_available
OSP-TEAM-16,5,PRIO-00597,3221004,228.2,visit_or_call_first_if_coverage_available
OSP-TEAM-16,6,PRIO-00379,3206003,396.3,visit_or_call_first_if_coverage_available
